split,task,seed,layer,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass
exploration,move_near,2,2,0.01621535274978945,0.029870619239504376,0.02016444821176196,0.00970617102774241,1.4714300149496424,0.020717139799021563,0.029667457310466133,0.02194007328608301,0.007030973598574119,0.0026751974291682906,0.06081368499155815
exploration,move_near,2,3,0.013323823556051351,0.024283312587133694,0.01279120188044434,0.01058913209741396,1.8052052291864527,0.015855678209988525,0.02685960406146987,0.014437073816574025,0.009706016270090755,0.000883115827323205,0.032796006368499775
exploration,move_near,2,4,0.022385925306507282,0.03214521211378823,0.02126342221158925,0.009225336450794578,1.402933104986653,0.01878602965113745,0.03667199054362241,0.01930577823942437,0.014864703163863907,-0.0056393667130693265,0.030741137889303143
exploration,move_near,2,5,0.02089609981091928,0.029783067492904842,0.017809673934534042,0.00888696768198556,1.4273733050154034,0.02231582643924898,0.0341629329642863,0.021023211400453694,0.011006144300083787,-0.002119176618098227,0.05619750260507317
exploration,move_near,2,6,0.021290031461803038,0.051733417862525645,0.019048328677139282,0.030443386400722614,2.4511444265908024,0.07561494134664537,0.03188840423286061,0.01847984194903816,-0.04372653711378477,0.07416992351450738,0.07130762358586178
exploration,move_near,2,7,0.03816743001104179,0.061067330620243686,0.029607016094857094,0.022899900609201898,1.603709223543864,0.037025997868869225,0.03843219020160705,0.028771004480152795,0.001406192332737817,0.021493708276464078,0.09194449108285123
exploration,move_near,2,8,0.030483807432619973,0.05794958187321133,0.02650531723359185,0.02746577444059135,1.8673573843481253,0.029658544430965994,0.03784310338442609,0.02316140167997803,0.008184558953460099,0.01928121548713125,0.1299761863534362
exploration,move_near,2,9,0.050863639215042285,0.08700412869715769,0.03814074781801204,0.03614048948211541,1.7146376436973283,0.033598483196482565,0.05216422952178723,0.033831571091446244,0.013295099172291332,0.022845390309824076,0.11302071970688606
exploration,move_near,2,10,0.04471693893719451,0.09912756606018931,0.030619491290352092,0.054410627122994805,2.293928681940514,0.05213127953653609,0.06347979775867627,0.026121424376612617,0.011348518222140174,0.043062108900854636,0.16618340512013674
exploration,move_near,2,11,0.05029496332934726,0.10037079145408545,0.030103033510782803,0.05007582812473821,2.0047040394484266,0.05307079736689952,0.09954710926721848,0.024680715961821077,0.04647631190031896,0.0035995162244192463,0.19573103297943817
exploration,move_near,2,12,0.0422875844770881,0.06812617799665914,0.022814783911016916,0.025838593519571035,1.7003464285756296,0.03893610364878583,0.08532601657907372,0.02415702309428684,0.0463899129302879,-0.020551319410716865,0.26386999543865386
exploration,move_near,2,13,0.05401673135291287,0.07087036471784962,0.025902921285707935,0.016853633364936737,1.3243939262395363,0.043850004367600635,0.05912908439117961,0.027030661968150866,0.015279080023578967,0.0015745533413577702,0.1659435304146276
exploration,move_near,2,14,0.036344033654688045,0.11004837204760332,0.028490821640396957,0.07370433839291528,2.9500780771917228,0.04362973501399974,0.06514067777325032,0.025869369337126885,0.021510942759250595,0.05219339563366468,0.3554893076055426
exploration,move_near,2,15,0.03496918969654225,0.06325616943334668,0.034348041848660756,0.028286979736804423,1.8547049188168383,0.036618078694588496,0.052566577404427474,0.0358091491045639,0.010922208539093972,0.017364771197710453,0.24699669794305615
exploration,move_near,2,16,0.033101398895501094,0.07799273765483644,0.029131838889183876,0.044141664971528084,2.29466645514179,0.04013418353036536,0.055737682707267956,0.03150228421373354,0.014781505664811158,0.029360159306716937,0.16475829817767362
exploration,move_near,2,17,0.04503901598777926,0.08577419353528927,0.027383412653969003,0.040735177547510014,1.890289813243534,0.056609251342886004,0.06371796040084891,0.026951615364301244,0.007108709057962913,0.0336264684895471,0.1934962307960859
exploration,move_near,2,18,0.0438328044115043,0.07478509996754817,0.03915416932345376,0.030952295556043886,1.7305294295023783,0.06278369320182524,0.05978963772031191,0.03575954712380061,-0.0029940554815133316,0.03394635103755722,0.11092747906433449
exploration,move_near,2,19,0.03957328993108437,0.082632696569124,0.03722039338116411,0.03871012572591137,1.9101297800392718,0.05576771849213974,0.053940407015207935,0.045420352894401904,-0.003665727026627994,0.04237585275253936,0.1092080028302765
exploration,move_near,2,20,0.04686954034122845,0.09076774323940719,0.037052310247631004,0.04364441552564537,1.9360133258614314,0.04673675009405968,0.061833636887532815,0.04204719189202904,0.014013114485672431,0.02963130103997294,0.15546047347630557
exploration,move_near,2,21,0.0380210789054383,0.08915721085883276,0.03432162028311737,0.04780214396123616,2.0737468560040853,0.05608746501291006,0.05300681862989375,0.03096238120092305,-0.0030806463830163034,0.050882790344252464,0.12505369872476516
exploration,move_near,2,22,0.06009734408789746,0.08622263763939626,0.034309246029414445,0.026125293551498813,1.426245430056358,0.06030470745919315,0.055933509732098464,0.04450831650214815,-0.009996533900056294,0.03612182745155511,0.12591149768774793
exploration,move_near,2,23,0.056206879526259225,0.04381658330593282,0.03575202624593956,-0.0123902962203264,0.7807788667703223,0.06062909939772838,0.04423832853123419,0.06623421322112817,-0.032637798470382846,0.020247502250056445,0.10342371378878568
exploration,move_near,2,24,0.067110537177957,0.07304683742033319,0.032906222988272345,0.005936300242376201,1.0829420042140672,0.0669177697333676,0.05675016644361163,0.039345205710923564,-0.010167603289755972,0.01610390353213217,0.11160522782699545
exploration,move_near,2,25,0.03186628972010883,0.06519854896226028,0.029069029040740407,0.032295751752941686,2.1085779380373624,0.046026061502217414,0.06031273505625798,0.026485689818565222,0.014286673554040561,0.018009078198901126,0.1206281634412889
exploration,move_near,2,26,0.04878990033317165,0.0710625537091356,0.03036698861031838,0.022272653375963947,1.5231982365806316,0.055226920753014906,0.04824821950079139,0.03691035739364412,-0.0069787012522235055,0.029251354628187454,0.14546168905851906
exploration,move_near,2,27,0.032362975621860114,0.04602999808253419,0.027436588556244628,0.01344150319901126,1.534759576263787,0.04400026376683592,0.047655619577214564,0.025773579960992072,0.003655355810378643,0.009786147388632616,0.08491653871335103
exploration,move_near,2,28,0.03739271618287385,0.06033555928906137,0.03358317927224722,0.022148710339360205,1.6600177714620126,0.04656565635193507,0.06784845006264789,0.03322766330338331,0.021282793710712827,0.0008659166286473785,0.10487922193280379
exploration,move_near,2,29,0.0351425222196655,0.05072893759981162,0.02918247390622182,0.014141787812749218,1.432543846099571,0.03740164655801534,0.05435546516951495,0.0326638110517039,0.016572875083550768,-0.002431087270801551,0.1933136832487179
exploration,move_near,2,30,0.027721480390299452,0.045554580131661436,0.024587400879335673,0.017328131059577756,1.624037265471209,0.03183047277258763,0.048141800547380355,0.029160050594150222,0.015803642907418047,0.001524488152159707,0.17400802200032217
exploration,move_near,2,31,0.029814551551662755,0.04807675322399344,0.03190833241706291,0.012499652464658421,1.3577644231459753,0.025343946683465787,0.038893838337036364,0.026749954288803085,0.010675286937565065,0.0018243655270933565,0.2266848181864134
exploration,move_near,31,0,0.0048156233921141725,0.0014035684581308148,0.002092897630184601,-0.0034120549339833584,0.2938131175929722,0.005711657326228802,0.0014032999504760906,0.0019880947689664514,-0.00430835737575271,0.0008963024417693524,0.7469197689400365
exploration,move_near,31,1,0.005329462668876962,0.008484030768760536,0.0061548163838095775,0.00232921438495096,1.3890316147053048,0.004571423456181624,0.009341989581309414,0.006150273233873393,0.0031917163474360203,-0.0008625019624850608,0.4171348629752174
exploration,move_near,31,2,0.023294772287134908,0.0295764301949774,0.018172353092479845,0.006281657907842491,1.272926333906266,0.025139035991289346,0.029373345272692346,0.018265690381211817,0.004232583973778475,0.0020490739340640156,0.04968964308091017
exploration,move_near,31,3,0.02407930006180492,0.027336168216895367,0.018375380792002693,0.003197251711542505,1.165428635703069,0.019057265191014545,0.019637776422388183,0.014128881692407938,0.0005805112313736396,0.0026167404801688654,0.024458274637453314
exploration,move_near,31,4,0.025055114514794332,0.03173918935214203,0.023073596607922006,0.005691894688823477,1.2324075718416305,0.023174250001726775,0.029165422570654787,0.02458784152024883,0.0028423328654061755,0.0028495618234173014,0.03674851080209388
exploration,move_near,31,5,0.026712155663851822,0.03591041555605169,0.027134465908026845,0.007056925487652926,1.2543294342590907,0.027959118856631705,0.029952756335502803,0.02071547196440341,0.001993637478871093,0.005063288008781833,0.04883068899323462
exploration,move_near,31,6,0.025728236407904507,0.05317169395017493,0.026297314034135367,0.02668805683257694,2.023180004206924,0.06277842104956587,0.04427251816376768,0.02492129465980733,-0.020388078493374377,0.04707613532595131,0.05052096919659258
exploration,move_near,31,7,0.04562396661280197,0.08650534274628831,0.043268915158344724,0.03942067506513399,1.8454483043477274,0.028954856439048254,0.0438047143948275,0.027061074750405204,0.012399205452708078,0.02702146961242592,0.06991617102892178
exploration,move_near,31,8,0.03625357231587253,0.05541331352777946,0.027843774656141188,0.019159741211906937,1.5949683959760723,0.045694914196563206,0.03915537273808898,0.03292031223201066,-0.006539541458474223,0.02569928267038116,0.1306150402097046
exploration,move_near,31,9,0.04490832782083177,0.09485606959451286,0.05002756366665099,0.04204328740727769,1.796780624647696,0.037547046838270516,0.07757945769840506,0.030120717292346666,0.04003241086013454,0.002010876547143147,0.10266618952797064
