split,layer,episodes,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass,real_margin_rank,grounded_margin_rank
validation,8,10,0.051716524613116675,0.09381847861876437,0.04376767379844075,0.04102606300538857,1.8129133202949128,0.04869527484993313,0.05865551130939447,0.04106813472876042,0.008679830191194704,0.03234623281419387,0.15310408454465688,6,7
validation,9,10,0.047700724547966915,0.08786976613704997,0.05875165225320074,0.026643976188876584,1.5495199506762871,0.05539310528010596,0.0649963884751317,0.05254471168637017,0.0027600697224229613,0.023883906466453622,0.12314385304087334,12,12
validation,10,10,0.051782798130602936,0.10194836501676666,0.048805289939095324,0.045674557828680684,1.860417389689049,0.05296866111713374,0.07859306034144901,0.04770559746984883,0.022352702261933026,0.023321855566747655,0.16436124840543398,4,14
validation,11,10,0.06657851119559317,0.1511659884529424,0.04154165286457053,0.08431728447358933,2.287754722797259,0.0660149021983449,0.11701342861038044,0.04670181864470557,0.049987160252575706,0.03433012422101363,0.2050961036571531,1,6
validation,12,10,0.048081135050478986,0.10747424473847011,0.036408484705544836,0.05897590933759343,2.3721555523949704,0.05681166645022042,0.09455058071448308,0.04020496044175674,0.03551709958660744,0.023458809750986,0.22993986916205436,3,13
validation,13,10,0.04463793452970836,0.08751133661840885,0.03564665657935541,0.04092180762711335,1.9897658644115404,0.049014065242857605,0.06880824550609532,0.03628890388553774,0.018747036720103808,0.02217477090700954,0.18006584751792995,7,15
validation,14,10,0.05449971790661362,0.13296186328095036,0.04255662649455077,0.07674575657747132,2.405110573875362,0.06610096805352488,0.08536705386996273,0.04334782469029912,0.018835432163770677,0.05791032441370064,0.33471735684114867,2,1
validation,15,10,0.04640566641690261,0.07945182668160125,0.04824524853156388,0.026995211963476606,1.5727927063966416,0.05325225030564053,0.06240312815923845,0.04832932957110883,0.006061789250398933,0.020933422713077677,0.24531876192110452,11,16
validation,16,10,0.05462548921918616,0.0881402928087995,0.04311869046514963,0.03180108865311489,1.7173999397539017,0.06070323133314912,0.06319354413658074,0.04311638900787589,0.0014770782247140474,0.030324010428400845,0.1846310051989794,10,8
validation,17,10,0.05275437884711903,0.1001338825824708,0.04739580347801295,0.04374163134137349,1.8850480086704002,0.0701442209211343,0.07125064156903975,0.051233958208113585,-0.001660359705135308,0.04540199104650879,0.183627604886297,5,4
validation,18,10,0.07032955499442953,0.0762227321111198,0.05471788965151787,0.003432289025394307,1.1399001158370559,0.07270356803868669,0.06316488571881118,0.05258284839675402,-0.011076189480665397,0.014508478506059705,0.09657754403774703,23,20
validation,19,10,0.06499157755634619,0.08210821058725085,0.061244432724834284,0.011780109478951587,1.3012446310396313,0.07800336822854263,0.06804216093690049,0.061342472626665576,-0.012401441390607917,0.0241815508695595,0.12470168358965453,19,11
validation,20,10,0.07658254488064067,0.09848544573033809,0.05955987046920552,0.01913971513624966,1.4034622809010509,0.08997760986761714,0.06395136414701363,0.06488023073860438,-0.027391772104783503,0.04653148724103316,0.13877925870076452,14,3
validation,21,10,0.06984220424094874,0.1169802155562319,0.06857874427142238,0.03976586454855323,1.583049375296677,0.08457305713538564,0.07135640597007194,0.061069942256211096,-0.015622641981956514,0.05538850653050974,0.12010998407039888,9,2
validation,22,10,0.06647236421421257,0.0914693696789571,0.059709713446347526,0.0211664348746353,1.4215342116303074,0.08566575523426238,0.07221247672735098,0.056292767244481144,-0.013517471516417422,0.034683906391052725,0.13524519227464418,13,5
validation,23,10,0.06775568208285115,0.062207552832521794,0.10057280767420311,-0.041069599326310824,0.6970803124344899,0.07261890451769806,0.04893018110930296,0.100037175184336,-0.05965436057872943,0.0185847612524186,0.08912636586584716,32,17
validation,24,10,0.07935820493660856,0.09560595467156711,0.05632594846277594,0.015523891153243435,1.317292646269536,0.08686725359509832,0.07369007488655185,0.05872721641562051,-0.013913331163564946,0.02943722231680838,0.11611109430043765,18,9
validation,25,10,0.05584255665205656,0.058184300277350866,0.04378767321099676,0.000667746393982714,1.142393708721293,0.0640622172807678,0.050299895093982104,0.04348809266416588,-0.014587638353771817,0.015255384747754532,0.12279330453444619,25,19
validation,26,10,0.06376545679142545,0.061566470902407945,0.05345004041964496,-0.0046589848173562,1.0624456331710865,0.07846885978138327,0.0582312852465649,0.05267463331558501,-0.0205159113646211,0.0158569265472649,0.13716657616689004,30,18
validation,27,10,0.044285898801197585,0.05166475717595,0.038049987758845175,0.005194220028732321,1.2112136671196907,0.0526216122016853,0.05125937030523479,0.03833128480402507,-0.0017746772975180147,0.006968897326250337,0.08178563615155401,21,25
validation,28,10,0.050527305351878216,0.05341582230408236,0.04041459542925273,0.0010304883834535538,1.0756797511954135,0.054089233051876164,0.04959804865933596,0.04772123060112039,-0.006882821387956861,0.007913309771410412,0.10803150572052853,24,22
validation,29,10,0.049949810611913566,0.049100847589220155,0.039292965047557804,-0.001479655907043479,1.096883995055426,0.05742354923192143,0.04810001750472025,0.04548446749597576,-0.010310724342549838,0.008831068435506358,0.17802174573003574,27,21
validation,30,10,0.042759319184670845,0.04848558180173164,0.03593834218030445,0.004580585091007639,1.1587859007106187,0.04440166776345055,0.04666472584806931,0.03629607590549798,0.0004843396828762581,0.0040962454081313795,0.14685777438494657,22,27
validation,31,10,0.041473311943756905,0.044374910647767316,0.03926977092689439,-0.0006231348998930817,1.105675286585684,0.04645740310193923,0.04338116872915469,0.03947006629389125,-0.004681816880689302,0.004058681980796219,0.24972891583970522,26,28
