id,layer,mode,k,replacements
open_drawer__097__step_056,7,raw,64,0
open_drawer__097__step_056,7,raw,109,0
open_drawer__097__step_056,7,raw,154,0
open_drawer__097__step_056,7,corners,64,3
open_drawer__097__step_056,7,corners,109,3
open_drawer__097__step_056,7,corners,154,3
open_drawer__097__step_056,7,gaussian,64,17
open_drawer__097__step_056,7,gaussian,109,18
open_drawer__097__step_056,7,gaussian,154,24
open_drawer__097__step_056,7,both,64,18
open_drawer__097__step_056,7,both,109,17
open_drawer__097__step_056,7,both,154,24
open_drawer__097__step_101,11,raw,64,0
open_drawer__097__step_101,11,raw,109,0
open_drawer__097__step_101,11,raw,154,0
open_drawer__097__step_101,11,corners,64,2
open_drawer__097__step_101,11,corners,109,2
open_drawer__097__step_101,11,corners,154,3
open_drawer__097__step_101,11,gaussian,64,15
open_drawer__097__step_101,11,gaussian,109,21
open_drawer__097__step_101,11,gaussian,154,19
open_drawer__097__step_101,11,both,64,15
open_drawer__097__step_101,11,both,109,20
open_drawer__097__step_101,11,both,154,19
open_drawer__097__step_101,7,raw,64,0
open_drawer__097__step_101,7,raw,109,0
open_drawer__097__step_101,7,raw,154,0
open_drawer__097__step_101,7,corners,64,3
open_drawer__097__step_101,7,corners,109,3
open_drawer__097__step_101,7,corners,154,3
open_drawer__097__step_101,7,gaussian,64,17
open_drawer__097__step_101,7,gaussian,109,22
open_drawer__097__step_101,7,gaussian,154,24
open_drawer__097__step_101,7,both,64,18
open_drawer__097__step_101,7,both,109,22
open_drawer__097__step_101,7,both,154,24
close_drawer__000__step_011,11,raw,64,0
close_drawer__000__step_011,11,raw,109,0
close_drawer__000__step_011,11,raw,154,0
close_drawer__000__step_011,11,corners,64,1
close_drawer__000__step_011,11,corners,109,2
close_drawer__000__step_011,11,corners,154,2
close_drawer__000__step_011,11,gaussian,64,13
close_drawer__000__step_011,11,gaussian,109,15
close_drawer__000__step_011,11,gaussian,154,25
close_drawer__000__step_011,11,both,64,13
close_drawer__000__step_011,11,both,109,17
close_drawer__000__step_011,11,both,154,25
close_drawer__000__step_011,7,raw,64,0
close_drawer__000__step_011,7,raw,109,0
close_drawer__000__step_011,7,raw,154,0
close_drawer__000__step_011,7,corners,64,2
close_drawer__000__step_011,7,corners,109,3
close_drawer__000__step_011,7,corners,154,3
close_drawer__000__step_011,7,gaussian,64,18
close_drawer__000__step_011,7,gaussian,109,20
close_drawer__000__step_011,7,gaussian,154,24
close_drawer__000__step_011,7,both,64,18
close_drawer__000__step_011,7,both,109,18
close_drawer__000__step_011,7,both,154,25
close_drawer__000__step_056,11,raw,64,0
close_drawer__000__step_056,11,raw,109,0
close_drawer__000__step_056,11,raw,154,0
close_drawer__000__step_056,11,corners,64,1
close_drawer__000__step_056,11,corners,109,2
close_drawer__000__step_056,11,corners,154,3
close_drawer__000__step_056,11,gaussian,64,12
close_drawer__000__step_056,11,gaussian,109,17
close_drawer__000__step_056,11,gaussian,154,23
close_drawer__000__step_056,11,both,64,12
close_drawer__000__step_056,11,both,109,19
close_drawer__000__step_056,11,both,154,23
close_drawer__000__step_056,7,raw,64,0
close_drawer__000__step_056,7,raw,109,0
close_drawer__000__step_056,7,raw,154,0
close_drawer__000__step_056,7,corners,64,2
close_drawer__000__step_056,7,corners,109,3
close_drawer__000__step_056,7,corners,154,3
close_drawer__000__step_056,7,gaussian,64,19
close_drawer__000__step_056,7,gaussian,109,24
close_drawer__000__step_056,7,gaussian,154,27
close_drawer__000__step_056,7,both,64,20
close_drawer__000__step_056,7,both,109,24
close_drawer__000__step_056,7,both,154,28
close_drawer__000__step_101,11,raw,64,0
close_drawer__000__step_101,11,raw,109,0
close_drawer__000__step_101,11,raw,154,0
close_drawer__000__step_101,11,corners,64,1
close_drawer__000__step_101,11,corners,109,2
close_drawer__000__step_101,11,corners,154,3
close_drawer__000__step_101,11,gaussian,64,10
close_drawer__000__step_101,11,gaussian,109,18
close_drawer__000__step_101,11,gaussian,154,24
close_drawer__000__step_101,11,both,64,10
close_drawer__000__step_101,11,both,109,19
close_drawer__000__step_101,11,both,154,24
close_drawer__000__step_101,7,raw,64,0
close_drawer__000__step_101,7,raw,109,0
close_drawer__000__step_101,7,raw,154,0
close_drawer__000__step_101,7,corners,64,2
close_drawer__000__step_101,7,corners,109,3
close_drawer__000__step_101,7,corners,154,3
close_drawer__000__step_101,7,gaussian,64,21
close_drawer__000__step_101,7,gaussian,109,21
close_drawer__000__step_101,7,gaussian,154,24
close_drawer__000__step_101,7,both,64,22
close_drawer__000__step_101,7,both,109,21
close_drawer__000__step_101,7,both,154,25
close_drawer__001__step_011,11,raw,64,0
close_drawer__001__step_011,11,raw,109,0
close_drawer__001__step_011,11,raw,154,0
close_drawer__001__step_011,11,corners,64,1
close_drawer__001__step_011,11,corners,109,1
close_drawer__001__step_011,11,corners,154,2
close_drawer__001__step_011,11,gaussian,64,8
close_drawer__001__step_011,11,gaussian,109,19
close_drawer__001__step_011,11,gaussian,154,24
close_drawer__001__step_011,11,both,64,8
close_drawer__001__step_011,11,both,109,19
close_drawer__001__step_011,11,both,154,24
close_drawer__001__step_011,7,raw,64,0
close_drawer__001__step_011,7,raw,109,0
close_drawer__001__step_011,7,raw,154,0
close_drawer__001__step_011,7,corners,64,2
close_drawer__001__step_011,7,corners,109,2
close_drawer__001__step_011,7,corners,154,3
close_drawer__001__step_011,7,gaussian,64,15
close_drawer__001__step_011,7,gaussian,109,20
close_drawer__001__step_011,7,gaussian,154,24
close_drawer__001__step_011,7,both,64,15
close_drawer__001__step_011,7,both,109,18
close_drawer__001__step_011,7,both,154,24
close_drawer__001__step_056,11,raw,64,0
close_drawer__001__step_056,11,raw,109,0
close_drawer__001__step_056,11,raw,154,0
close_drawer__001__step_056,11,corners,64,1
close_drawer__001__step_056,11,corners,109,2
close_drawer__001__step_056,11,corners,154,2
close_drawer__001__step_056,11,gaussian,64,14
close_drawer__001__step_056,11,gaussian,109,25
close_drawer__001__step_056,11,gaussian,154,29
close_drawer__001__step_056,11,both,64,14
close_drawer__001__step_056,11,both,109,24
close_drawer__001__step_056,11,both,154,29
close_drawer__001__step_056,7,raw,64,0
close_drawer__001__step_056,7,raw,109,0
close_drawer__001__step_056,7,raw,154,0
close_drawer__001__step_056,7,corners,64,2
close_drawer__001__step_056,7,corners,109,2
close_drawer__001__step_056,7,corners,154,3
close_drawer__001__step_056,7,gaussian,64,17
close_drawer__001__step_056,7,gaussian,109,22
close_drawer__001__step_056,7,gaussian,154,31
close_drawer__001__step_056,7,both,64,17
close_drawer__001__step_056,7,both,109,21
close_drawer__001__step_056,7,both,154,31
close_drawer__001__step_101,11,raw,64,0
close_drawer__001__step_101,11,raw,109,0
close_drawer__001__step_101,11,raw,154,0
close_drawer__001__step_101,11,corners,64,1
close_drawer__001__step_101,11,corners,109,2
close_drawer__001__step_101,11,corners,154,2
close_drawer__001__step_101,11,gaussian,64,17
close_drawer__001__step_101,11,gaussian,109,24
close_drawer__001__step_101,11,gaussian,154,27
close_drawer__001__step_101,11,both,64,17
close_drawer__001__step_101,11,both,109,24
close_drawer__001__step_101,11,both,154,27
close_drawer__001__step_101,7,raw,64,0
close_drawer__001__step_101,7,raw,109,0
close_drawer__001__step_101,7,raw,154,0
close_drawer__001__step_101,7,corners,64,2
close_drawer__001__step_101,7,corners,109,2
close_drawer__001__step_101,7,corners,154,3
close_drawer__001__step_101,7,gaussian,64,17
close_drawer__001__step_101,7,gaussian,109,22
close_drawer__001__step_101,7,gaussian,154,27
close_drawer__001__step_101,7,both,64,17
close_drawer__001__step_101,7,both,109,22
close_drawer__001__step_101,7,both,154,27
close_drawer__009__step_011,11,raw,64,0
close_drawer__009__step_011,11,raw,109,0
close_drawer__009__step_011,11,raw,154,0
close_drawer__009__step_011,11,corners,64,1
close_drawer__009__step_011,11,corners,109,2
close_drawer__009__step_011,11,corners,154,3
close_drawer__009__step_011,11,gaussian,64,16
close_drawer__009__step_011,11,gaussian,109,26
close_drawer__009__step_011,11,gaussian,154,26
close_drawer__009__step_011,11,both,64,16
close_drawer__009__step_011,11,both,109,26
close_drawer__009__step_011,11,both,154,26
close_drawer__009__step_011,7,raw,64,0
