corner_mass,id,layer,phase,seed,synonym_jaccard,target_response,target_switch_jaccard,task,visual_mass
0.04668471645675738,open_drawer__000__step_101,4,late,0,0.963963963963964,,,open_drawer,0.050003781752366194
0.10301829463413374,open_drawer__000__step_101,5,late,0,0.963963963963964,,,open_drawer,0.07284799023045707
0.0167567346472969,open_drawer__000__step_101,6,late,0,0.963963963963964,,,open_drawer,0.07072095814714885
0.08764047956614893,open_drawer__000__step_101,7,late,0,0.963963963963964,,,open_drawer,0.09244190623917348
0.03272318773706537,open_drawer__000__step_101,8,late,0,0.9464285714285714,,,open_drawer,0.20486506264387572
0.05161338348351327,open_drawer__000__step_101,9,late,0,0.9464285714285714,,,open_drawer,0.10304431144868431
0.04025106075752582,open_drawer__000__step_101,10,late,0,0.9292035398230089,,,open_drawer,0.17526463005924597
0.00349655610570104,open_drawer__000__step_101,11,late,0,0.963963963963964,,,open_drawer,0.2219278148313606
0.0031418724997097397,open_drawer__000__step_101,12,late,0,0.9464285714285714,,,open_drawer,0.2780363956499059
0.0036771435864734556,open_drawer__000__step_101,13,late,0,0.9292035398230089,,,open_drawer,0.18607973653342924
0.002498827506301205,open_drawer__000__step_101,14,late,0,0.963963963963964,,,open_drawer,0.42897018308804036
0.025371282355704572,open_drawer__000__step_101,15,late,0,0.9464285714285714,,,open_drawer,0.263508365569578
0.004431208399917035,open_drawer__000__step_101,16,late,0,0.963963963963964,,,open_drawer,0.11027994849644074
0.00983641525769356,open_drawer__000__step_101,17,late,0,0.963963963963964,,,open_drawer,0.15022575489365408
0.02498873884310094,open_drawer__000__step_101,18,late,0,0.9122807017543859,,,open_drawer,0.13173769873083074
0.017238912755406104,open_drawer__000__step_101,19,late,0,0.9464285714285714,,,open_drawer,0.05951776504618067
0.011213736298527672,open_drawer__000__step_101,20,late,0,0.9464285714285714,,,open_drawer,0.08997786718720135
0.0107360686271979,open_drawer__000__step_101,21,late,0,0.9464285714285714,,,open_drawer,0.09339712503395958
0.011219380183166382,open_drawer__000__step_101,22,late,0,0.963963963963964,,,open_drawer,0.08398053393057126
0.015022899985883506,open_drawer__000__step_101,23,late,0,0.963963963963964,,,open_drawer,0.08178940283397651
0.011001413725380276,open_drawer__000__step_101,24,late,0,0.9818181818181818,,,open_drawer,0.0819186730610113
0.013607143632974567,open_drawer__000__step_101,25,late,0,0.963963963963964,,,open_drawer,0.09694280986445847
0.0353079047111876,open_drawer__000__step_101,26,late,0,0.963963963963964,,,open_drawer,0.0908452366592769
0.028439753552337788,open_drawer__000__step_101,27,late,0,0.9464285714285714,,,open_drawer,0.04921804233131866
0.025490046260159608,open_drawer__000__step_101,28,late,0,0.9464285714285714,,,open_drawer,0.11412660131185248
0.021681137920678516,open_drawer__000__step_101,29,late,0,0.9122807017543859,,,open_drawer,0.14751087459939072
0.06768486488613316,open_drawer__000__step_101,30,late,0,0.9818181818181818,,,open_drawer,0.1332991870716569
0.062260654873147546,open_drawer__000__step_101,31,late,0,0.963963963963964,,,open_drawer,0.1763166425594136
0.019850717165423054,open_drawer__011__step_011,0,early,11,0.9818181818181818,3.5749708216104535e-05,0.9818181818181818,open_drawer,0.8219678997993469
0.032160563290317044,open_drawer__011__step_011,1,early,11,1.0,-4.406085086691887e-05,1.0,open_drawer,0.3448122632689774
0.06741552382472547,open_drawer__011__step_011,2,early,11,0.9818181818181818,0.0006920926484782052,0.9292035398230089,open_drawer,0.021564302343904274
0.030407525367653586,open_drawer__011__step_011,3,early,11,0.9818181818181818,0.0005390463724302763,0.9292035398230089,open_drawer,0.041005588052257735
0.06562808764432869,open_drawer__011__step_011,4,early,11,0.9818181818181818,5.55072572229684e-05,0.963963963963964,open_drawer,0.04505906089070777
0.08468013822170405,open_drawer__011__step_011,5,early,11,0.9292035398230089,0.000898966827974676,0.8016528925619835,open_drawer,0.07626033466976878
0.03337441738292291,open_drawer__011__step_011,6,early,11,0.9292035398230089,-0.0012989671948875443,0.9292035398230089,open_drawer,0.052641066900378064
0.05315218044346359,open_drawer__011__step_011,7,early,11,0.9292035398230089,-0.0020715982016726933,0.8632478632478633,open_drawer,0.08654657027591384
0.03153423293941643,open_drawer__011__step_011,8,early,11,0.9292035398230089,-0.0004568579046076819,0.9464285714285714,open_drawer,0.2630149401084054
0.047352526059765886,open_drawer__011__step_011,9,early,11,0.963963963963964,-0.0006289092495568183,0.9464285714285714,open_drawer,0.08909791780138221
0.02106020792667871,open_drawer__011__step_011,10,early,11,0.9122807017543859,-0.0001665817237136661,0.8632478632478633,open_drawer,0.2280012998080565
0.007633258959290127,open_drawer__011__step_011,11,early,11,0.9122807017543859,0.0004890256317947473,0.847457627118644,open_drawer,0.30002742223905443
0.01053198010934822,open_drawer__011__step_011,12,early,11,0.9464285714285714,2.5661340294394833e-05,0.9122807017543859,open_drawer,0.22564757703003124
0.024512750174320124,open_drawer__011__step_011,13,early,11,0.963963963963964,-0.002243544246012448,0.8956521739130435,open_drawer,0.19499586933670798
0.011056518028006529,open_drawer__011__step_011,14,early,11,0.963963963963964,-0.007878102798100788,0.963963963963964,open_drawer,0.39938272306540057
0.03269151458475436,open_drawer__011__step_011,15,early,11,0.963963963963964,-0.0010953537493802196,0.9292035398230089,open_drawer,0.26556414914148263
0.036223187914855196,open_drawer__011__step_011,16,early,11,0.8956521739130435,-0.0009815287434933543,0.9122807017543859,open_drawer,0.24916025577158507
0.055842144664919886,open_drawer__011__step_011,17,early,11,0.9464285714285714,-0.00036602643315024764,0.9292035398230089,open_drawer,0.2089330225840058
0.040577557755760205,open_drawer__011__step_011,18,early,11,0.9292035398230089,-0.0007272852410833324,0.963963963963964,open_drawer,0.10215650292400369
0.10312587531013265,open_drawer__011__step_011,19,early,11,0.9464285714285714,-0.000269002966415916,0.8956521739130435,open_drawer,0.093733407907024
0.06125119454554075,open_drawer__011__step_011,20,early,11,0.9292035398230089,-0.0015902045287696648,0.9292035398230089,open_drawer,0.15297679628326932
0.10160491997159939,open_drawer__011__step_011,21,early,11,0.9464285714285714,-0.0008647158695984482,0.9464285714285714,open_drawer,0.07979169376017126
0.1004770718594551,open_drawer__011__step_011,22,early,11,0.9292035398230089,-0.0007801331002498684,0.9292035398230089,open_drawer,0.09088243384167072
0.1151840042950051,open_drawer__011__step_011,23,early,11,0.7580645161290323,0.000870384728215004,0.9818181818181818,open_drawer,0.0784758826819143
0.0664325749644339,open_drawer__011__step_011,24,early,11,0.963963963963964,-0.0023971149302187945,0.9464285714285714,open_drawer,0.13489248201892678
0.18228328239992445,open_drawer__011__step_011,25,early,11,0.963963963963964,0.0005237760711088919,0.9464285714285714,open_drawer,0.07610628730499869
0.13746371399102714,open_drawer__011__step_011,26,early,11,0.9122807017543859,-0.0005090994815634339,0.9464285714285714,open_drawer,0.11851572190741422
0.1463260574321937,open_drawer__011__step_011,27,early,11,0.963963963963964,-0.0006953416436217214,0.8632478632478633,open_drawer,0.082791312061687
0.11975354499016636,open_drawer__011__step_011,28,early,11,0.9292035398230089,-0.00021330910586484083,0.8793103448275862,open_drawer,0.10350389444505481
0.13764464954144573,open_drawer__011__step_011,29,early,11,0.9292035398230089,-0.0006707406174069662,0.9292035398230089,open_drawer,0.17621977323261717
0.10789823015047258,open_drawer__011__step_011,30,early,11,0.9464285714285714,-0.0015292961374347123,0.9292035398230089,open_drawer,0.15992963062785748
0.10025845553626489,open_drawer__011__step_011,31,early,11,0.9464285714285714,-0.0003893699881770598,0.9464285714285714,open_drawer,0.25326168236460944
0.031217490620028366,open_drawer__011__step_056,0,middle,11,1.0,,,open_drawer,0.8174187354743481
0.0645361848766596,open_drawer__011__step_056,1,middle,11,0.9818181818181818,,,open_drawer,0.3069720158819109
0.29872763245299605,open_drawer__011__step_056,2,middle,11,0.963963963963964,,,open_drawer,0.025184306196138095
0.09570600146054592,open_drawer__011__step_056,3,middle,11,0.963963963963964,,,open_drawer,0.04868219021886944
0.1711702581561237,open_drawer__011__step_056,4,middle,11,0.9464285714285714,,,open_drawer,0.03759830304670686
0.21619816258362523,open_drawer__011__step_056,5,middle,11,0.9292035398230089,,,open_drawer,0.05296694571916305
0.05805613132881014,open_drawer__011__step_056,6,middle,11,0.963963963963964,,,open_drawer,0.04671974942584711
0.08518613955694872,open_drawer__011__step_056,7,middle,11,0.9464285714285714,,,open_drawer,0.09793408010705207
0.0521233081029639,open_drawer__011__step_056,8,middle,11,0.9464285714285714,,,open_drawer,0.16741133019104382
0.10978415461764773,open_drawer__011__step_056,9,middle,11,0.9292035398230089,,,open_drawer,0.08649193033875235
0.08212156393564002,open_drawer__011__step_056,10,middle,11,0.9464285714285714,,,open_drawer,0.15861455595813823
0.024834871392095333,open_drawer__011__step_056,11,middle,11,0.9122807017543859,,,open_drawer,0.23828986443731992
0.027401759574500917,open_drawer__011__step_056,12,middle,11,0.963963963963964,,,open_drawer,0.3337541555565622
0.049263762194385254,open_drawer__011__step_056,13,middle,11,0.9292035398230089,,,open_drawer,0.18156007110110295
0.03749671153173576,open_drawer__011__step_056,14,middle,11,0.963963963963964,,,open_drawer,0.3553084897221197
0.09959442977622025,open_drawer__011__step_056,15,middle,11,0.9464285714285714,,,open_drawer,0.2219629382796029
0.08270045110965882,open_drawer__011__step_056,16,middle,11,0.9464285714285714,,,open_drawer,0.1935678785739583
0.09046745475734497,open_drawer__011__step_056,17,middle,11,0.963963963963964,,,open_drawer,0.15451108053343887
0.09701933225459113,open_drawer__011__step_056,18,middle,11,0.963963963963964,,,open_drawer,0.09201214949121095
0.09828706398802646,open_drawer__011__step_056,19,middle,11,0.9122807017543859,,,open_drawer,0.10588315713670227
0.1281948157257937,open_drawer__011__step_056,20,middle,11,0.9122807017543859,,,open_drawer,0.10767566282703456
0.11109263831885766,open_drawer__011__step_056,21,middle,11,0.9122807017543859,,,open_drawer,0.046962461306790715
