evidence_stage,scope,strategy,layers,task,successes,episodes,success_rate,selection_score,target_response,target_mask_response,correct_response_fraction,positive_task_count,synonym_mask_jaccard,mean_components,mean_isolated_ratio,mean_largest_component_ratio,source_path,notes
offline_exploration_single,20 episodes / 60 states,L20,[20],,,,,0.46249999999999997,0.009507404252265891,0.007317801672640382,0.6666666666666666,2,0.8940844279599713,12.4,0.21801590752869177,0.32304871835217425,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L21,[21],,,,,0.7179687500000002,0.04355597604687015,0.01974657660141531,0.5,2,0.9050353447112605,12.983333333333333,0.2267680830217858,0.3020349834271005,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L22,[22],,,,,0.43984375,0.009814475352565447,0.008351713996875287,0.5,2,0.8924621015851958,12.8,0.2189402424771316,0.3079946067247437,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L23,[23],,,,,0.4007812500000001,0.004369355350111921,0.012224577244738535,0.3333333333333333,1,0.9138374072849094,12.983333333333333,0.23571794741569507,0.30202698841723735,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L24,[24],,,,,0.63046875,0.03058427417029937,0.024767944122782836,0.5,2,0.8923915299342454,13.116666666666667,0.23224130063220605,0.29775398225890826,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L25,[25],,,,,0.46562499999999996,0.010210349690169096,-0.0026881720430107525,0.6666666666666666,3,0.9173136422548421,13.75,0.2529371693716903,0.2490640043405712,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L26,[26],,,,,0.42265625,0.012646490087111792,-0.004629629629629629,0.3333333333333333,2,0.9126227519852093,14.4,0.26528504930615543,0.24715918349068183,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L27,[27],,,,,0.21171875,-0.0031396327540278435,0.004629629629629629,0.16666666666666666,1,0.9362900804767704,13.516666666666667,0.22092131999451564,0.26003032559650224,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L28,[28],,,,,0.14921875,-0.00039744656533002853,-0.004629629629629629,0.0,1,0.9305976024756497,14.0,0.24877761133431517,0.24754130846138958,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L29,[29],,,,,0.33515625000000004,0.005090087341765563,-0.0026881720430107525,0.16666666666666666,1,0.9375519162298681,13.966666666666667,0.23667757314328156,0.2382899961977699,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L30,[30],,,,,0.14921875,-0.0029012967521945634,-0.0026881720430107525,0.0,1,0.944654431477857,14.233333333333333,0.2541835335990555,0.2293855869062732,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_single,20 episodes / 60 states,L31,[31],,,,,0.19296875000000002,-0.0012843944132328033,-0.001388888888888889,0.16666666666666666,1,0.9263759547371164,15.083333333333334,0.27783294879921966,0.20112205320768503,artifacts/prompt_attn_layer_selection_v1/exploration_per_layer.csv,
offline_exploration_pair,20 episodes / 60 states,L11+L7,"[11, 7]",,,,,0.86171875,0.07674868482475479,0.07056911129491775,0.6666666666666666,2,0.8982605273085963,7.566666666666666,0.11559985804937865,0.5701503485049155,artifacts/prompt_attn_layer_selection_v1/exploration_candidate_pairs.csv,
offline_exploration_pair,20 episodes / 60 states,L11+L14,"[11, 14]",,,,,0.8882812499999999,0.0549354562535882,0.09335998529546917,0.6666666666666666,2,0.9179435131729968,7.816666666666666,0.13770658659973645,0.5631089560959457,artifacts/prompt_attn_layer_selection_v1/exploration_candidate_pairs.csv,
offline_exploration_pair,20 episodes / 60 states,L11+L8,"[11, 8]",,,,,0.84140625,0.06587054207921028,0.06430963376527893,0.6666666666666666,2,0.9045596537522808,7.516666666666667,0.11955596469093849,0.5603311935558366,artifacts/prompt_attn_layer_selection_v1/exploration_candidate_pairs.csv,
offline_exploration_pair,20 episodes / 60 states,L7+L14,"[7, 14]",,,,,0.85859375,0.045995250189056,0.10008903133903134,0.6666666666666666,2,0.9136124328269856,8.933333333333334,0.16579723447705877,0.5034638776126752,artifacts/prompt_attn_layer_selection_v1/exploration_candidate_pairs.csv,
offline_exploration_pair,20 episodes / 60 states,L7+L8,"[7, 8]",,,,,0.82578125,0.0562432959365348,0.019641462181784763,0.6666666666666666,2,0.9301264507354324,8.583333333333334,0.1567126980466396,0.49326802588445834,artifacts/prompt_attn_layer_selection_v1/exploration_candidate_pairs.csv,
offline_exploration_pair,20 episodes / 60 states,L14+L8,"[14, 8]",,,,,0.86484375,0.043694254787017904,0.0868678774928775,0.6666666666666666,2,0.9227151819154086,8.516666666666667,0.14864660993930703,0.514849481791042,artifacts/prompt_attn_layer_selection_v1/exploration_candidate_pairs.csv,
offline_frozen_validation,10 held-out episodes / 30 states,L11,[11],,,,,,0.0955242079993089,0.0408278710604292,1.0,3,0.8759351706728961,7.166666666666667,0.10995926827972032,0.5705189352421909,artifacts/prompt_attn_layer_selection_v1/VALIDATION_LAYER_RESULTS.json,Candidates and score rule were frozen before this split was read.
offline_frozen_validation,10 held-out episodes / 30 states,L11+L14,"[11, 14]",,,,,,0.08972608856856823,0.044961240310077526,1.0,3,0.9014927687792709,7.466666666666667,0.15896681465429685,0.5624401782548356,artifacts/prompt_attn_layer_selection_v1/VALIDATION_LAYER_RESULTS.json,Candidates and score rule were frozen before this split was read.
offline_frozen_validation,10 held-out episodes / 30 states,Avg L16-31,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",,,,,,0.017334662998716038,0.0045045045045045045,0.6666666666666666,3,0.944604175577254,12.633333333333333,0.2657639039772565,0.28984495958141643,artifacts/prompt_attn_layer_selection_v1/VALIDATION_LAYER_RESULTS.json,Candidates and score rule were frozen before this split was read.
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,open_drawer,27,100,0.27,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,close_drawer,56,100,0.56,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,pick_coke_can,23,100,0.23,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,move_near,62,100,0.62,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,place_apple,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,carrot_on_plate,5,100,0.05,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,put_eggplant,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,spoon_on_towel,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Vanilla,,stack_cube,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,9 tasks,Vanilla,,OVERALL,173,900,0.1922222222222222,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,open_drawer,46,100,0.46,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,close_drawer,78,100,0.78,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,pick_coke_can,41,100,0.41,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,move_near,67,100,0.67,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,place_apple,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,carrot_on_plate,3,100,0.03,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,put_eggplant,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,spoon_on_towel,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Original SHR,,stack_cube,0,100,0.0,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,9 tasks,Original SHR,,OVERALL,235,900,0.2611111111111111,,,,,,,,,,reports/weekly_report_2026-09-05_09-11.md,"Canonical prior 9-task SHR baseline, seeds 0-99."
closed_loop_seed_0_99,same task-seed; 100 episodes,Avg L16-31,,open_drawer,21,100,0.21,,,,,,,,,,artifacts/prompt_attn_layer_selection_v1/closed_loop*/episodes,Matched Prompt-Attn arm; lambda=0.5.
closed_loop_seed_0_99,same task-seed; 100 episodes,Avg L16-31,,close_drawer,77,100,0.77,,,,,,,,,,artifacts/prompt_attn_layer_selection_v1/closed_loop*/episodes,Matched Prompt-Attn arm; lambda=0.5.
closed_loop_seed_0_99,same task-seed; 100 episodes,Avg L16-31,,pick_coke_can,27,100,0.27,,,,,,,,,,artifacts/prompt_attn_layer_selection_v1/closed_loop*/episodes,Matched Prompt-Attn arm; lambda=0.5.
closed_loop_seed_0_99,same task-seed; 100 episodes,Avg L16-31,,move_near,61,100,0.61,,,,,,,,,,artifacts/prompt_attn_layer_selection_v1/closed_loop*/episodes,Matched Prompt-Attn arm; lambda=0.5.
closed_loop_seed_0_99,same task-seed; 100 episodes,Avg L16-31,,place_apple,1,100,0.01,,,,,,,,,,artifacts/prompt_attn_layer_selection_v1/closed_loop*/episodes,Matched Prompt-Attn arm; lambda=0.5.
