layer,exp_top_alignment,exp_top_alignment_rank,exp_semantic_separation,exp_semantic_separation_rank,exp_mask_jaccard_separation,exp_mask_jaccard_separation_rank,val_top_alignment,val_top_alignment_rank,val_semantic_separation,val_semantic_separation_rank,val_mask_jaccard_separation,val_mask_jaccard_separation_rank,mean_action_alignment,mean_semantic_separation
11,0.34096345655820814,5,0.11824330731111883,2,0.15461408557538361,1,0.2961295009180618,3,0.1140928746422016,1,0.13916899923528941,1,0.31854647873813496,0.11616809097666021
12,0.3398085714874236,6,0.07943464169454609,5,0.10037767887592304,3,0.26901617233881986,12,0.023964730987864686,15,0.07033475832212464,7,0.30441237191312176,0.051699686341205385
13,0.3516859024971319,2,0.07369566299413423,7,0.09770578917442749,4,0.2586933564921404,13,0.05224904474671506,8,0.07906208828410474,4,0.3051896294946361,0.06297235387042464
14,0.345999965323972,4,0.15473484289235284,1,0.1513025439581314,2,0.28377714288368766,5,0.09803956656135633,2,0.10472008665212573,2,0.3148885541038298,0.12638720472685458
15,0.31788393369119794,11,0.061984774235851026,10,0.06790071432630732,11,0.27617421963248445,8,0.04979608255983482,9,0.06286592032485797,11,0.2970290766618412,0.055890428397842924
16,0.300456883601041,16,0.0648818816557887,9,0.0887271812859314,7,0.2819414967638647,6,-0.0021572842106771517,25,0.03446934499038031,16,0.2911991901824529,0.031362298722555776
17,0.30670952316054767,13,0.06789841386620993,8,0.09401909260398869,5,0.24883386738125127,15,0.05225113280989653,7,0.0664055123991775,9,0.27777169527089945,0.06007477333805323
18,0.2809584234376389,19,0.018354756714304605,17,0.04152066704276662,15,0.2431112168381313,19,0.0032120462785024126,23,-0.02708161761353677,32,0.2620348201378851,0.010783401496403508
19,0.2851252483764526,17,0.02410357261704334,15,0.0012398466649743063,28,0.24792694756467384,16,0.005593972173178766,20,0.009285925171684552,19,0.2665260979705632,0.014848772395111053
20,0.257816606672782,28,0.0005793480359129013,24,0.02423051337336326,17,0.223643347549403,27,0.052394432583772424,6,0.018556520436743332,17,0.2407299771110925,0.02648689030984266
21,0.2807156698812098,20,0.026754755588774236,14,0.059509333353006566,12,0.21975949224355298,29,0.05667273635567053,5,0.05166997744336219,12,0.25023758106238136,0.04171374597222238
22,0.27143140545009387,22,-0.011768527348953997,31,0.017125594411354784,19,0.2162878447336345,30,-0.04176824735938266,32,0.0023618060550152356,23,0.24385962509186418,-0.026768387354168328
23,0.2705079267955582,23,-0.004508664500357892,29,0.0014853915999251351,27,0.22718506140365613,24,-0.006158775791644008,28,-0.021324714780930128,31,0.24884649409960716,-0.00533372014600095
24,0.2703234159886522,24,0.010281505947932652,20,0.020448594335438375,18,0.19858578560308995,32,0.003573433560547875,22,0.007154668753408739,21,0.2344546007958711,0.0069274697542402635
25,0.249003280067567,30,0.00486521227267775,21,-0.0014950918064870872,30,0.24227906174485686,20,0.021571032146766034,16,0.009616565503725095,18,0.24564117090621193,0.013218122209721891
26,0.2552027770723722,29,-0.0014110711056740468,28,-0.007640415528376276,31,0.22704544229657747,25,-0.016073610470095968,30,-0.01625235762673915,29,0.24112410968447484,-0.008742340787885007
27,0.26983010261031604,25,0.004138939347510163,23,0.016645514170111737,20,0.2216457335286682,28,0.004975028577816202,21,-0.007612332055056519,26,0.24573791806949213,0.004556983962663182
28,0.2653328451847427,27,0.0003553715737561754,26,0.003730333204520142,25,0.21234854593560773,31,0.011672122781119797,18,0.0037183367330861977,22,0.23884069556017523,0.006013747177437986
29,0.26634280340104755,26,0.0046468140797817315,22,0.006062887317429578,23,0.22683426265693582,26,0.008352154721632633,19,0.008309507758546168,20,0.2465885330289917,0.0064994844007071825
30,0.24191423655093836,31,-0.011041500495639286,30,0.013938292225926624,21,0.23732251373534047,21,-0.014595620476397536,29,-0.007854168906658906,27,0.2396183751431394,-0.012818560486018411
31,0.22667449706310952,32,0.0005332417214573455,25,0.0048228744750417624,24,0.2368695081767643,22,-0.0019141620517946858,24,0.0017423737673393637,24,0.2317720026199369,-0.0006904601651686701
