state_id,task,seed,split,matched_count,layer,scale,count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
google_robot_move_near__seed099__step008,move_near,99,exploration,42,14,1.25,52,0.2681620489103807,0.07780578732026425,0.9638303515753579,0.9377177785960727,0.026112572979285154,0.8909090909090909,0.7931034482758621,0.09780564263322877
google_robot_move_near__seed099__step040,move_near,99,exploration,9,9,0.75,7,0.037034583482083626,-0.22072781612846196,0.9121926230053673,0.4706408460353198,0.4415517769700475,0.75,0.4,0.35
google_robot_move_near__seed099__step040,move_near,99,exploration,9,11,0.75,7,0.04408685492010744,-0.21367554469043815,0.7652335202824935,0.8342190255533243,-0.0689855052708308,0.75,0.4,0.35
google_robot_move_near__seed099__step040,move_near,99,exploration,9,14,0.75,7,0.0906610637850734,-0.1671013358254722,0.6362528201732688,0.8277282380185736,-0.19147541784530486,0.75,0.5555555555555556,0.19444444444444442
google_robot_move_near__seed099__step040,move_near,99,exploration,9,9,1.0,9,0.030368670188718482,0.04376230082496686,0.7276893774732475,0.47919730489040663,0.24849207258284084,0.8,0.38461538461538464,0.4153846153846154
google_robot_move_near__seed099__step040,move_near,99,exploration,9,11,1.0,9,0.23485023119276058,0.24824386182900895,1.0,0.4856058482021568,0.5143941517978432,1.0,0.38461538461538464,0.6153846153846154
google_robot_move_near__seed099__step040,move_near,99,exploration,9,14,1.0,9,0.1573277484080339,0.17072137904428228,0.5430858077890772,0.781563874048179,-0.23847806625910173,0.8,0.38461538461538464,0.4153846153846154
google_robot_move_near__seed099__step040,move_near,99,exploration,9,9,1.25,11,0.11681672432113609,0.14263964268387125,0.5110006821765178,0.20583546292175212,0.3051652192547657,0.8333333333333334,0.29411764705882354,0.5392156862745099
google_robot_move_near__seed099__step040,move_near,99,exploration,9,11,1.25,11,0.21057240039225933,0.2363953187549945,1.0,0.40556041824585587,0.5944395817541441,1.0,0.375,0.625
google_robot_move_near__seed099__step040,move_near,99,exploration,9,14,1.25,11,0.20471097817745446,0.23053389654018963,0.6577240873407474,0.688677006133696,-0.03095291879294859,0.8333333333333334,0.4666666666666667,0.3666666666666667
google_robot_move_near__seed099__step071,move_near,99,exploration,27,9,0.75,20,0.17146378511139201,0.010674825159994294,0.9451721535864412,0.9841644855913246,-0.03899233200488339,0.9047619047619048,0.9047619047619048,0.0
google_robot_move_near__seed099__step071,move_near,99,exploration,27,11,0.75,20,0.188555053031678,0.027766093080280274,0.9409240532654536,0.8635345257044809,0.07738952756097273,0.9047619047619048,0.7391304347826086,0.16563146997929612
google_robot_move_near__seed099__step071,move_near,99,exploration,27,14,0.75,20,0.17142812997535128,0.010639170023953565,0.8726231228872292,0.7469754693211392,0.12564765356608998,0.9047619047619048,0.8181818181818182,0.08658008658008653
google_robot_move_near__seed099__step071,move_near,99,exploration,27,9,1.0,27,0.13456644515733623,0.05282137782726318,0.9916488444936946,0.9908413066062663,0.0008075378874282668,0.9285714285714286,0.8620689655172413,0.06650246305418728
google_robot_move_near__seed099__step071,move_near,99,exploration,27,11,1.0,27,0.17659151508125503,0.09484644775118198,0.6321541441750004,0.9939743872423814,-0.36182024306738103,0.8,0.9285714285714286,-0.12857142857142856
google_robot_move_near__seed099__step071,move_near,99,exploration,27,14,1.0,27,0.18849449797789833,0.10674943064782527,0.978058499768898,0.770795143074699,0.20726335669419904,0.8620689655172413,0.8,0.06206896551724128
google_robot_move_near__seed099__step071,move_near,99,exploration,27,9,1.25,34,0.2398775637767184,0.10094183756727887,0.9886527365443888,0.9981365303677611,-0.009483793823372277,0.9428571428571428,0.9428571428571428,0.0
google_robot_move_near__seed099__step071,move_near,99,exploration,27,11,1.25,34,0.109281592160064,-0.02965413404937553,0.8501135751878968,0.9928884101900542,-0.14277483500215749,0.9428571428571428,0.8888888888888888,0.053968253968254
google_robot_move_near__seed099__step071,move_near,99,exploration,27,14,1.25,34,0.16241828068411282,0.02348255447467329,0.9917956844723497,0.756871934998467,0.23492374947388261,0.9428571428571428,0.8378378378378378,0.10501930501930501
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,9,0.75,26,0.30535623137262813,0.02811553280868645,1.0,0.9581178158515281,0.04188218414847189,1.0,0.7333333333333333,0.2666666666666667
google_robot_open_drawer__seed000__step011,open_drawer,0,validation,35,11,0.75,26,0.23159955157901194,-0.04564114698492974,0.9779732392534574,0.6169442025989409,0.36102903665451647,0.8571428571428571,0.4857142857142857,0.3714285714285714
