split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,2,4,0.015602082479372864,0.032030446540714796,0.8529594360218874,0.8058248427942836,0.0471345932276039,0.9743589743589745,0.9124542124542124,0.06190476190476191
exploration,move_near,2,5,-0.03370492001552436,-0.017276555954182427,0.9475483088564393,0.9842633026038429,-0.036714993747403724,0.9167791273054432,0.922332356089162,-0.005553228783718778
exploration,move_near,2,6,0.10911175121282557,0.1255401152741675,0.9630543614319659,0.9033350269728048,0.05971933445916111,0.9568151147098515,0.8930374368970861,0.06377767781276551
exploration,move_near,2,7,0.08243875754458868,0.09886712160593063,0.9694280066626361,0.9688989024727843,0.0005291041898517849,0.9509671614934773,0.9056881815502505,0.04527897994322675
exploration,move_near,2,8,0.22013743433656766,0.23656579839790962,0.9927605547730907,0.9746176934451447,0.01814286132794592,0.9449103528050896,0.9449103528050896,0.0
exploration,move_near,2,9,0.29465034794954853,0.3110787120108905,0.7811722211412059,0.7148532096311208,0.06631901151008505,0.8666666666666667,0.8156966490299823,0.050970017636684295
exploration,move_near,2,10,0.24886833385487728,0.26529669791621924,0.9439749097805334,0.8648595888621541,0.07911532091837936,0.9045244878578211,0.8666666666666667,0.03785782119115455
exploration,move_near,2,11,0.26664245036558903,0.283070814426931,0.9202975553587849,0.7792818273809421,0.14101572797784281,0.9096816114359975,0.8491856542704,0.06049595716559734
exploration,move_near,2,12,0.1318073856306353,0.14823574969197725,0.9472454360093382,0.8233416464748357,0.12390378953450265,0.9045244878578211,0.8478603917200408,0.056664096137780375
exploration,move_near,2,13,0.253986108669849,0.27041447273119096,0.9106922809269129,0.9258496011853327,-0.015157320258419796,0.9590643274853802,0.840378893431119,0.1186854340542612
exploration,move_near,2,14,0.25376213014816046,0.2701904942095024,0.9557201253873947,0.8954287305261537,0.06029139486124102,0.9449103528050896,0.8236434108527132,0.12126694195237649
exploration,move_near,2,15,0.07101498491146539,0.08744334897280732,0.9403658309738331,0.949731996367134,-0.00936616539330093,0.9282661782661782,0.9334233018443546,-0.0051571235781761775
exploration,move_near,2,16,0.09629501292841774,0.11272337698975969,0.9040524482568034,0.895545524513378,0.008506923743425321,0.9449103528050896,0.9479733817301875,-0.0030630289250978735
exploration,move_near,2,17,0.2971000455818915,0.3135284096432334,0.9792938925020701,0.8533767022183644,0.12591719028370565,0.9449103528050896,0.8748355653317806,0.07007478747330897
exploration,move_near,2,18,0.27489543456763743,0.29132379862897934,0.8738464937565094,0.7256107485053113,0.14823574525119806,0.9282661782661782,0.8661345253299277,0.06213165293625067
exploration,move_near,2,19,0.11992435779090382,0.13635272185224578,0.8724693637715588,0.870127748946074,0.0023416148254847835,0.8940886699507389,0.8510938749234236,0.042994795027315326
exploration,move_near,2,20,0.10860099042833372,0.12502935448967567,0.9904593620505135,0.875346311332524,0.11511305071798945,0.9705513784461153,0.8930374368970861,0.07751394154902924
exploration,move_near,2,21,0.09679678641476804,0.11322515047611,0.9787446586685515,0.9364891124106052,0.04225554625794644,0.9449103528050896,0.8859265110869732,0.0589838417181164
exploration,move_near,2,22,0.05872235870096998,0.07515072276231191,0.8482468649831393,0.9244641682029041,-0.07621730321976487,0.9334233018443546,0.8991228070175438,0.034300494826810635
exploration,move_near,2,23,0.013814473281686031,0.030242837343027962,0.957738890583708,0.9839919949168562,-0.026253104333148276,0.9056881815502505,0.9705513784461153,-0.06486319689586473
exploration,move_near,2,24,0.08874284873025662,0.10517121279159856,0.9141624699996315,0.9915468900806035,-0.07738442008097195,0.9167791273054432,0.9449103528050896,-0.02813122549964653
exploration,move_near,2,25,0.022016310688712376,0.03844467475005433,0.9927595859965977,0.9199542234509841,0.07280536254561372,0.9705513784461153,0.9334233018443546,0.0371280766017608
