state_id,task,seed,split,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
google_robot_move_near__seed098__step008,move_near,98,exploration,23,0.4230030709613522,0.10925606049248937,0.9971709163781693,0.9977266131130715,-0.0005556967349021891,0.9344262295081968,0.9344262295081968,0.0
google_robot_move_near__seed098__step008,move_near,98,exploration,24,0.5342079297428989,0.22046091927403605,0.9500909772486171,0.9452440229269025,0.004846954321714669,0.9666666666666667,0.9032258064516129,0.0634408602150538
google_robot_move_near__seed098__step008,move_near,98,exploration,25,0.554672230936843,0.2409252204679802,1.0,1.0,0.0,1.0,1.0,0.0
google_robot_move_near__seed098__step008,move_near,98,exploration,26,0.5689308234573528,0.25518381298848997,1.0,0.996184731211184,0.0038152687888159953,1.0,0.9666666666666667,0.033333333333333326
google_robot_move_near__seed098__step008,move_near,98,exploration,27,0.5523967494084214,0.2386497389395586,1.0,1.0,0.0,1.0,1.0,0.0
google_robot_move_near__seed098__step008,move_near,98,exploration,28,0.5598490734883406,0.24610206301947773,1.0,0.9981109423157434,0.0018890576842566231,1.0,0.9666666666666667,0.033333333333333326
google_robot_move_near__seed098__step008,move_near,98,exploration,29,0.5616932289562461,0.24794621848738324,0.9175411674845678,0.9856167250264857,-0.06807555754191785,0.9666666666666667,0.9666666666666667,0.0
google_robot_move_near__seed098__step008,move_near,98,exploration,30,0.5634825225771154,0.24973551210825257,1.0,0.9932759494326596,0.006724050567340378,1.0,0.9666666666666667,0.033333333333333326
google_robot_move_near__seed098__step008,move_near,98,exploration,31,0.557984384749754,0.24423737428089115,1.0,0.9469116051203997,0.053088394879600265,1.0,0.9344262295081968,0.06557377049180324
google_robot_move_near__seed098__step040,move_near,98,exploration,0,0.37754577695906283,0.14639920506301637,1.0,1.0,0.0,1.0,1.0,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,1,0.30287213653905276,0.0717255646430063,1.0,0.9902986797347856,0.00970132026521442,1.0,0.9782608695652174,0.021739130434782594
google_robot_move_near__seed098__step040,move_near,98,exploration,2,0.2263181306410007,-0.004828441255045751,0.994145319103623,1.0,-0.005854680896376974,0.956989247311828,1.0,-0.043010752688172005
google_robot_move_near__seed098__step040,move_near,98,exploration,3,0.07884298187122975,-0.1523035900248167,0.9973080598627343,0.9911255465177803,0.00618251334495401,0.9782608695652174,0.956989247311828,0.02127162225338941
google_robot_move_near__seed098__step040,move_near,98,exploration,4,0.04660181536487231,-0.18454475653117414,1.0,0.9817738315437646,0.01822616845623537,1.0,0.9361702127659575,0.06382978723404253
google_robot_move_near__seed098__step040,move_near,98,exploration,5,0.06821674825269713,-0.16292982364334932,0.9475006714490749,1.0,-0.052499328550925095,0.9782608695652174,1.0,-0.021739130434782594
google_robot_move_near__seed098__step040,move_near,98,exploration,6,0.2251847715748058,-0.005961800321240662,0.9928120951184374,0.9996690971292513,-0.006857002010813962,0.956989247311828,0.9782608695652174,-0.02127162225338941
google_robot_move_near__seed098__step040,move_near,98,exploration,7,0.2242030707126702,-0.0069435011833762494,0.9848019041685413,1.0,-0.015198095831458702,0.956989247311828,1.0,-0.043010752688172005
google_robot_move_near__seed098__step040,move_near,98,exploration,8,0.17904321600565756,-0.05210335589038889,0.978442333478199,0.9867455932483534,-0.008303259770154447,0.9782608695652174,0.956989247311828,0.02127162225338941
google_robot_move_near__seed098__step040,move_near,98,exploration,9,0.2519799768191843,0.02083340492313787,0.9664034564292475,0.9591974585804346,0.007205997848812928,0.9782608695652174,0.9782608695652174,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,10,0.3887936353518697,0.15764706345582327,0.9888986529178437,0.9879495371010512,0.0009491158167925784,0.9782608695652174,0.9782608695652174,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,11,0.4525882303802158,0.22144165848416933,0.981753370517651,0.9744430895958192,0.007310280921831835,0.956989247311828,0.9157894736842105,0.04119977362761751
google_robot_move_near__seed098__step040,move_near,98,exploration,12,0.44978546232184874,0.21863889042580228,1.0,0.9648377881616641,0.0351622118383359,1.0,0.956989247311828,0.043010752688172005
google_robot_move_near__seed098__step040,move_near,98,exploration,13,0.42785032902464243,0.19670375712859597,0.9971762425355402,0.9977722682925046,-0.0005960257569644911,0.9782608695652174,0.956989247311828,0.02127162225338941
google_robot_move_near__seed098__step040,move_near,98,exploration,14,0.3593515789058077,0.12820500700976126,0.9960127857375732,0.8912902136956223,0.1047225720419509,0.956989247311828,0.8958333333333334,0.061155913978494625
google_robot_move_near__seed098__step040,move_near,98,exploration,15,0.3948845554782862,0.16373798358223976,0.974484808042884,0.9565066413973285,0.017978166645555405,0.9782608695652174,0.9361702127659575,0.04209065679925994
google_robot_move_near__seed098__step040,move_near,98,exploration,16,0.3385706683157963,0.10742409641974984,0.9970177394269825,0.8666661491516104,0.13035159027537202,0.956989247311828,0.8762886597938144,0.08070058751801357
google_robot_move_near__seed098__step040,move_near,98,exploration,17,0.3539463029903953,0.12279973109434886,0.9974157586959521,0.9979850574426824,-0.0005692987467302846,0.9782608695652174,0.9782608695652174,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,18,0.23947793899997863,0.008331367103932175,0.9919643934619282,0.999790609965647,-0.00782621650371873,0.956989247311828,0.9782608695652174,-0.02127162225338941
google_robot_move_near__seed098__step040,move_near,98,exploration,19,0.18762983956545684,-0.043516732330589614,0.9894033779165144,0.9759723580671326,0.013431019849381887,0.956989247311828,0.956989247311828,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,20,0.20540155992357048,-0.025745011972475973,1.0,0.9783813819620296,0.021618618037970383,1.0,0.9782608695652174,0.021739130434782594
google_robot_move_near__seed098__step040,move_near,98,exploration,21,0.21578328449590642,-0.015363287400140035,0.9991761288361293,0.9997051290749365,-0.0005290002388071979,0.9782608695652174,0.9782608695652174,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,22,0.24655117359694537,0.015404601700898912,1.0,0.9756248686500677,0.0243751313499323,1.0,0.9782608695652174,0.021739130434782594
google_robot_move_near__seed098__step040,move_near,98,exploration,23,0.19651441593855398,-0.03463215595749247,0.9704548710595327,0.9707696541387038,-0.00031478307917109927,0.9782608695652174,0.956989247311828,0.02127162225338941
google_robot_move_near__seed098__step040,move_near,98,exploration,24,0.21101301966885563,-0.02013355222719082,0.9714632951406451,0.9828597103537758,-0.011396415213130728,0.9782608695652174,0.9361702127659575,0.04209065679925994
google_robot_move_near__seed098__step040,move_near,98,exploration,25,0.22921672136254087,-0.0019298505335055838,1.0,0.9886758371973339,0.011324162802666127,1.0,0.956989247311828,0.043010752688172005
google_robot_move_near__seed098__step040,move_near,98,exploration,26,0.20797261288666138,-0.02317395900938507,0.9323675700543318,0.9485194408665313,-0.016151870812199487,0.8958333333333334,0.8958333333333334,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,27,0.2242490710528531,-0.006897500843193349,0.9453411627411284,0.9706483404150054,-0.025307177673876913,0.9361702127659575,0.956989247311828,-0.02081903454587053
google_robot_move_near__seed098__step040,move_near,98,exploration,28,0.22108967623822026,-0.010056895657826193,0.9602577060584343,0.9990894929709108,-0.03883178691247646,0.9361702127659575,0.956989247311828,-0.02081903454587053
google_robot_move_near__seed098__step040,move_near,98,exploration,29,0.2556936202938254,0.024547048397778964,0.9564982125460567,0.9803463374558299,-0.023848124909773172,0.8762886597938144,0.9361702127659575,-0.05988155297214304
google_robot_move_near__seed098__step040,move_near,98,exploration,30,0.22848535153612456,-0.0026612203599218898,0.9881152707565738,0.9785484183236459,0.009566852432927875,0.9157894736842105,0.9157894736842105,0.0
google_robot_move_near__seed098__step040,move_near,98,exploration,31,0.2213518501449249,-0.00979472175112156,0.9992504869860882,0.9958136696561128,0.0034368173299753613,0.9782608695652174,0.9782608695652174,0.0
google_robot_move_near__seed098__step071,move_near,98,exploration,0,-0.10025305909761519,0.1767296745697841,1.0,0.8299024354513533,0.17009756454864666,1.0,0.9,0.09999999999999998
