split,layer,episodes,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation,mean_rank
validation,21,10,0.21975949224355298,0.11191642807984661,0.9459139275212939,0.8892411911656234,0.05667273635567053,0.9192123424337575,0.8675423649903953,0.05166997744336219,19.25
validation,22,10,0.2162878447336345,0.10844478056992812,0.9113295793165255,0.9530978266759081,-0.04176824735938266,0.906653756388021,0.9042919503330058,0.0023618060550152356,30.25
validation,23,10,0.22718506140365613,0.11934199723994983,0.9374002978663334,0.9435590736579773,-0.006158775791644008,0.9160333794787366,0.9373580942596668,-0.021324714780930128,24.0
validation,24,10,0.19858578560308995,0.09074272143938358,0.9634545158815472,0.9598810823209993,0.003573433560547875,0.9161061072364362,0.9089514384830275,0.007154668753408739,22.5
validation,25,10,0.24227906174485686,0.13443599758115046,0.9511804964163995,0.9296094642696333,0.021571032146766034,0.9246666512825623,0.9150500857788373,0.009616565503725095,16.5
validation,26,10,0.22704544229657747,0.11920237813287113,0.9387461996935078,0.9548198101636036,-0.016073610470095968,0.914199645084018,0.9304520027107571,-0.01625235762673915,24.5
validation,27,10,0.2216457335286682,0.11380266936496186,0.9643401859617728,0.9593651573839568,0.004975028577816202,0.9303495717641566,0.9379619038192131,-0.007612332055056519,19.75
validation,28,10,0.21234854593560773,0.10450548177190136,0.9613969816702698,0.94972485888915,0.011672122781119797,0.9319589133705917,0.9282405766375053,0.0037183367330861977,21.5
validation,29,10,0.22683426265693582,0.11899119849322945,0.9502924434421866,0.9419402887205541,0.008352154721632633,0.9408205049146534,0.9325109971561071,0.008309507758546168,20.5
validation,30,10,0.23732251373534047,0.12947944957163413,0.9623238509999764,0.976919471476374,-0.014595620476397536,0.9231919586674412,0.9310461275741,-0.007854168906658906,19.0
validation,31,10,0.2368695081767643,0.129026444013058,0.9599066354124239,0.9618207974642186,-0.0019141620517946858,0.9307547875029721,0.9290124137356328,0.0017423737673393637,19.0
