state_id,task,seed,step,partner_layer,alpha,m_t,l11_success,vanilla_success,paired_group,l11_group,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,isolated_change_l11,largest_component_ratio,largest_change_l11,score_cosine_l11,rank_correlation_l11,target_response,target_response_l11,target_response_change,target_mask_response,target_correct_both
google_robot_move_near__seed000__step008,move_near,0,8,17,0.75,43,1,1,stable_success,success,0.8297872340425532,4,4,0.09302325581395349,11,2,0.16279069767441862,0.06976744186046513,0.627906976744186,-0.06976744186046513,0.9678304494598486,0.9935118162050811,0.03672654358220581,0.043906901179143074,-0.007180357596937262,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,17,0.5,43,1,1,stable_success,success,0.7551020408163265,6,6,0.13953488372093023,15,6,0.23255813953488372,0.13953488372093023,0.3488372093023256,-0.3488372093023256,0.8805977338571923,0.9803788052185854,0.030138339186935828,0.043906901179143074,-0.013768561992207246,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,18,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9989453188418919,0.9996244850080109,0.04141879337182667,0.043906901179143074,-0.0024881078073164045,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,18,0.75,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9920003357078045,0.998247596704051,0.03708917302371134,0.043906901179143074,-0.006817728155431732,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,18,0.5,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,9,0,0.11627906976744186,0.023255813953488372,0.6744186046511628,-0.023255813953488413,0.955156374994762,0.992455367360952,0.02767255809658633,0.043906901179143074,-0.016234343082556744,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,19,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9981101136165123,0.9995822842755776,0.04177740903156866,0.043906901179143074,-0.0021294921475744147,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,19,0.75,43,1,1,stable_success,success,0.9111111111111111,2,2,0.046511627906976744,9,0,0.11627906976744186,0.023255813953488372,0.6976744186046512,0.0,0.9864932667126984,0.9980830853742274,0.03818959860118516,0.043906901179143074,-0.005717302577957911,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,19,0.5,43,1,1,stable_success,success,0.7551020408163265,6,6,0.13953488372093023,9,0,0.06976744186046512,-0.023255813953488372,0.37209302325581395,-0.32558139534883723,0.9340722183468311,0.9924575131609061,0.03087081273253233,0.043906901179143074,-0.013036088446610743,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,20,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.9954838226704456,0.9993648432135499,0.040608801367007785,0.043906901179143074,-0.0032980998121352884,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,20,0.75,43,1,1,stable_success,success,0.8695652173913043,3,3,0.06976744186046512,8,-1,0.046511627906976744,-0.046511627906976744,0.6744186046511628,-0.023255813953488413,0.9709177669077523,0.9971203364614327,0.035389219636033274,0.043906901179143074,-0.0085176815431098,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,20,0.5,43,1,1,stable_success,success,0.6862745098039216,8,8,0.18604651162790697,10,1,0.09302325581395349,0.0,0.46511627906976744,-0.23255813953488375,0.8860973142416257,0.9900313286793314,0.0258765647236291,0.043906901179143074,-0.018030336455513975,0.023255813953488372,1
google_robot_move_near__seed000__step008,move_near,0,8,21,0.9,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.09302325581395349,0.0,0.6976744186046512,0.0,0.998711633415437,0.9994678416113525,0.04140885310003008,0.043906901179143074,-0.0024980480791129966,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,21,0.75,43,1,1,stable_success,success,0.9545454545454546,1,1,0.023255813953488372,9,0,0.11627906976744186,0.023255813953488372,0.7209302325581395,0.023255813953488302,0.990522801614561,0.9976725223163193,0.03709049607949604,0.043906901179143074,-0.006816405099647031,0.011627906976744186,1
google_robot_move_near__seed000__step008,move_near,0,8,21,0.5,43,1,1,stable_success,success,0.7551020408163265,6,6,0.13953488372093023,12,3,0.18604651162790697,0.09302325581395349,0.627906976744186,-0.06976744186046513,0.950391448427426,0.9920212005035477,0.027821691826713485,0.043906901179143074,-0.01608520935242959,0.011627906976744186,1
