partner_layer,alpha,group_type,group,states,episodes,target_control_states,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
8,0.5,l11_outcome,fail,51,17,3,-0.022513274142305254,0.8196034535497538,2.6470588235294117,6.803921568627451,0.5098039215686274,0.973460964243507,0.9781526429523514
8,0.5,l11_outcome,success,54,18,6,-0.014753211883825302,0.8165606464228428,3.462962962962963,7.407407407407407,0.6481481481481481,0.9667183971463891,0.9755202505234691
8,0.75,l11_outcome,fail,51,17,3,-0.010512443456441761,0.9124587509468168,1.2352941176470589,6.313725490196078,0.0196078431372549,0.9945834608621675,0.9913021471463385
8,0.75,l11_outcome,success,54,18,6,-0.007085174706708813,0.906954323557085,1.7222222222222223,7.0,0.24074074074074073,0.9927232119171172,0.9910361326220932
8,0.9,l11_outcome,fail,51,17,3,-0.004048539396531177,0.9695007883163996,0.49019607843137253,6.117647058823529,-0.17647058823529413,0.9992306508063825,0.9972692942477973
8,0.9,l11_outcome,success,54,18,6,-0.0027676439880678257,0.9604226884667637,0.7407407407407407,6.833333333333333,0.07407407407407407,0.9989160438108426,0.997451624132143
9,0.5,l11_outcome,fail,51,17,3,-0.024758301906925916,0.8347554087369415,2.5294117647058822,6.862745098039215,0.5686274509803921,0.9748899987815309,0.9756582136173304
9,0.5,l11_outcome,success,54,18,6,-0.013428397556465287,0.8223124786438468,3.314814814814815,7.685185185185185,0.9259259259259259,0.9774099596070223,0.9741844635606078
9,0.75,l11_outcome,fail,51,17,3,-0.011226267500559129,0.914597161111155,1.2352941176470589,6.431372549019608,0.13725490196078433,0.995500122457964,0.9894917932267892
9,0.75,l11_outcome,success,54,18,6,-0.006006012654918754,0.9166325887177799,1.4814814814814814,7.203703703703703,0.4444444444444444,0.9960437645389474,0.9889272483744902
9,0.9,l11_outcome,fail,51,17,3,-0.0042515541784196075,0.9618253145059898,0.43137254901960786,6.215686274509804,-0.0784313725490196,0.9994000926162693,0.9962145283840245
9,0.9,l11_outcome,success,54,18,6,-0.002257908153746649,0.9651680421903056,0.6666666666666666,6.888888888888889,0.12962962962962962,0.9994757229260736,0.99592617229555
10,0.5,l11_outcome,fail,51,17,3,-0.04411235160521445,0.8170387060052109,2.7254901960784315,6.529411764705882,0.23529411764705882,0.974783711697388,0.983750572213321
10,0.5,l11_outcome,success,54,18,6,-0.014386754024809226,0.8090419389338172,3.388888888888889,7.037037037037037,0.2777777777777778,0.971492973518041,0.9829191806964894
10,0.75,l11_outcome,fail,51,17,3,-0.021072814645800648,0.9086265058754588,1.392156862745098,6.294117647058823,0.0,0.9947939156760384,0.993653733523622
10,0.75,l11_outcome,success,54,18,6,-0.006764162309588877,0.915193471350772,1.5925925925925926,6.981481481481482,0.2222222222222222,0.9940117741402886,0.9937080774268201
10,0.9,l11_outcome,fail,51,17,3,-0.008213883764401802,0.9662161684537293,0.47058823529411764,6.1568627450980395,-0.13725490196078433,0.9992553445107589,0.9981288904895901
10,0.9,l11_outcome,success,54,18,6,-0.002615956195898781,0.9676739798494723,0.6296296296296297,6.87037037037037,0.1111111111111111,0.9991365700628818,0.9980842907309918
12,0.5,l11_outcome,fail,51,17,3,-0.03854561722083924,0.8039722632409309,2.7254901960784315,6.568627450980392,0.27450980392156865,0.9693151334742159,0.9889298741355089
12,0.5,l11_outcome,success,54,18,6,-0.017510997541117606,0.8443541587242501,2.8518518518518516,7.2592592592592595,0.5,0.9695893837345012,0.9894406773734136
12,0.75,l11_outcome,fail,51,17,3,-0.01938409183034014,0.9053739212623296,1.3725490196078431,6.392156862745098,0.09803921568627451,0.9924825004478848,0.9961233108487154
12,0.75,l11_outcome,success,54,18,6,-0.008619879450882955,0.9270133392809164,1.3703703703703705,6.796296296296297,0.037037037037037035,0.9925286145532138,0.9967881480845686
12,0.9,l11_outcome,fail,51,17,3,-0.00779286770339475,0.9579234694113816,0.5882352941176471,6.215686274509804,-0.0784313725490196,0.9988143989633564,0.9990877404978926
12,0.9,l11_outcome,success,54,18,6,-0.0034181872699431573,0.9654495526867918,0.6851851851851852,6.833333333333333,0.07407407407407407,0.9988213641925497,0.9992951047150375
13,0.5,l11_outcome,fail,51,17,3,-0.042715009066148134,0.8013410256849817,2.803921568627451,6.764705882352941,0.47058823529411764,0.9662611558585767,0.9888106770517772
13,0.5,l11_outcome,success,54,18,6,-0.020333495489068678,0.8215101880850108,3.240740740740741,7.277777777777778,0.5185185185185185,0.9678921887290044,0.9875882824487336
13,0.75,l11_outcome,fail,51,17,3,-0.019882921847788317,0.9140572537922732,1.2156862745098038,6.509803921568627,0.21568627450980393,0.9927415803846372,0.9963548608960633
13,0.75,l11_outcome,success,54,18,6,-0.009756276803759411,0.9073537543884006,1.5,6.962962962962963,0.2037037037037037,0.9929608853890249,0.9962414194493187
13,0.9,l11_outcome,fail,51,17,3,-0.007639529026357547,0.9644256761374255,0.49019607843137253,6.098039215686274,-0.19607843137254902,0.9989421121392944,0.9991511327579783
13,0.9,l11_outcome,success,54,18,6,-0.0038173444143438633,0.9623266481173599,0.7407407407407407,6.907407407407407,0.14814814814814814,0.9989606340683475,0.9991845695260376
14,0.5,l11_outcome,fail,51,17,3,-0.02064937708813425,0.710265252140439,4.03921568627451,6.980392156862745,0.6862745098039216,0.934492270663638,0.9789018356827737
14,0.5,l11_outcome,success,54,18,6,-0.01622428240250475,0.7794497790287127,4.296296296296297,7.351851851851852,0.5925925925925926,0.9355567146616955,0.9803195175605908
14,0.75,l11_outcome,fail,51,17,3,-0.012091434209594623,0.8090137065041088,2.5294117647058822,6.549019607843137,0.2549019607843137,0.9797319627440771,0.9906089275375976
14,0.75,l11_outcome,success,54,18,6,-0.009161398675335384,0.8693571651229843,2.537037037037037,6.833333333333333,0.07407407407407407,0.9794097268283818,0.9923988612954908
14,0.9,l11_outcome,fail,51,17,3,-0.00539331524221467,0.9163040121294594,1.1764705882352942,6.235294117647059,-0.058823529411764705,0.9962767206342623,0.9971354552349664
14,0.9,l11_outcome,success,54,18,6,-0.0039809008014782005,0.9413608970755583,1.1111111111111112,6.888888888888889,0.12962962962962962,0.9961645511119015,0.9978878308240717
15,0.5,l11_outcome,fail,51,17,3,-0.051328994316293584,0.7472201786110331,3.823529411764706,7.490196078431373,1.196078431372549,0.9452737489188512,0.9782612653095112
15,0.5,l11_outcome,success,54,18,6,-0.0273635746001553,0.7685832741489679,4.648148148148148,8.407407407407407,1.6481481481481481,0.9400461355911403,0.9771405546654459
15,0.75,l11_outcome,fail,51,17,3,-0.025926322975747717,0.8691410374325432,2.019607843137255,7.196078431372549,0.9019607843137255,0.9870065273192502,0.9907904089193468
