partner_layer,alpha,task,states,episodes,target_control_states,target_response,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
7,0.5,pick_coke_can,30,10,3,0.15971193613856158,-0.012233560387102063,0.8314528938178364,2.3,7.033333333333333,0.6333333333333333,0.980949680863351,0.975231221866178
7,0.75,close_drawer,15,5,0,,,0.9419187027363065,0.8,4.2,0.0,0.995848018107301,0.99098244258793
7,0.75,move_near,30,10,3,0.04366154022185329,0.0016456810227038973,0.9353813888534964,1.1666666666666667,8.6,-0.03333333333333333,0.9967300134692585,0.9922487029831387
7,0.75,open_drawer,30,10,3,0.034503642902441234,-0.0042299550586029555,0.9175574585504226,1.4666666666666666,6.333333333333333,0.6,0.9963163499163646,0.9904546950102999
7,0.75,pick_coke_can,30,10,3,0.16707678899662537,-0.004868707529038276,0.9219792944900235,1.1333333333333333,6.633333333333334,0.23333333333333334,0.9969465416352757,0.9908184081025407
7,0.9,close_drawer,15,5,0,,,0.967902160092313,0.4,4.066666666666666,-0.13333333333333333,0.9994650985724876,0.9977725642786294
7,0.9,move_near,30,10,3,0.0426156894679754,0.0005998302688260104,0.9729404564832664,0.4666666666666667,8.633333333333333,0.0,0.999579580762223,0.997980802243076
7,0.9,open_drawer,30,10,3,0.037227976029941795,-0.0015056219311023907,0.9692574526146129,0.5333333333333333,5.9,0.16666666666666666,0.9995224748814332,0.9973796683070112
7,0.9,pick_coke_can,30,10,3,0.17021034308504016,-0.0017351534406234899,0.974866314971578,0.3333333333333333,6.333333333333333,-0.06666666666666667,0.9996133973565801,0.9973486972610054
8,0.5,close_drawer,15,5,0,,,0.8173066573066573,2.466666666666667,4.666666666666667,0.4666666666666667,0.9798244693649842,0.9800517376211182
8,0.5,move_near,30,10,3,0.04445281873354009,0.002436959534390694,0.8527283622960034,2.933333333333333,9.0,0.36666666666666664,0.9774365469959764,0.9813697356374455
8,0.5,open_drawer,30,10,3,0.023204844467860797,-0.015528753493183394,0.7810889744815385,4.133333333333334,6.633333333333334,0.9,0.9524816917503542,0.968469543945983
8,0.5,pick_coke_can,30,10,3,0.1330175925745005,-0.03892790395116316,0.8206643691648285,2.433333333333333,6.933333333333334,0.5333333333333333,0.9751462806486402,0.9789307955672538
8,0.75,close_drawer,15,5,0,,,0.9155367707919564,1.2,4.133333333333334,-0.06666666666666667,0.9961393180279515,0.9933195048447393
