partner_layer,alpha,states,target_control_states,target_response,target_response_l11,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,largest_component_ratio,score_cosine_l11,rank_correlation_l11,open_target_delta,pick_target_delta,move_target_delta,task_nonharm_fraction,complement_score,strict_candidate,relaxed_candidate
10,0.5,105,9,0.05993636467700811,0.08423165122861907,-0.024295286551610965,0.8129260829399229,3.066666666666667,3.066666666666667,0.10735574754863218,6.79047619047619,0.2571428571428571,0.11934995696108192,0.5766685423830632,0.9730913320622953,0.9833229994332362,-0.01958723651252781,-0.04468866478007938,-0.008609958362225697,0.0,0.4252768262043689,0,0
10,0.75,105,9,0.07269793814029295,0.08423165122861907,-0.011533713088326134,0.9120038024056201,1.4952380952380953,1.4952380952380953,0.04724346418965668,6.647619047619048,0.11428571428571428,0.10789327182064383,0.6018997350735088,0.9943916714576531,0.9936816818166954,-0.009795377735294429,-0.020707551982672,-0.0040982095470119785,0.0,0.5820984590716717,0,0
10,0.9,105,9,0.07974971917655262,0.08423165122861907,-0.0044819320520664545,0.9669659000286829,0.5523809523809524,0.5523809523809524,0.017260610778602664,6.523809523809524,-0.009523809523809525,0.10690245944269808,0.6105909063423817,0.9991942605089935,0.9981059534708824,-0.003913431458479601,-0.007938280932878322,-0.0015940837648414409,0.3333333333333333,0.7827007704871546,0,0
12,0.5,105,9,0.05970911379426093,0.08423165122861907,-0.02452253743435815,0.8247400952037808,2.7904761904761903,2.7904761904761903,0.0994885729214504,6.923809523809524,0.3904761904761905,0.12916815438981863,0.6090756248070139,0.9694561764652199,0.9891925729435741,-0.017528950247897346,-0.044779623834900466,-0.011259038220276641,0.0,0.4227188972007052,0,0
12,0.75,105,9,0.07202370098458373,0.08423165122861907,-0.01220795024403535,0.9165027648147459,1.3714285714285714,1.3714285714285714,0.0450726202531596,6.6,0.06666666666666667,0.10913087902736293,0.6108846261641571,0.9925062162734826,0.99646522714144,-0.008890001525084163,-0.02193508191114459,-0.0057987672958772956,0.0,0.5697417939298051,0,0
12,0.9,105,9,0.07935523714752539,0.08423165122861907,-0.004876414081093687,0.9617940265244499,0.638095238095238,0.638095238095238,0.020002552986382767,6.533333333333333,0.0,0.10391926566267541,0.6145419608743191,0.9988179810812274,0.9991943849524244,-0.003586762995510051,-0.00867306330889448,-0.002369415938876534,0.0,0.7164803817476711,0,0
13,0.5,105,9,0.05643765121385724,0.08423165122861907,-0.02779400001476183,0.8117137377764252,3.0285714285714285,3.0285714285714285,0.1072201645210146,7.0285714285714285,0.49523809523809526,0.1199298883195022,0.5794474266256265,0.967099972763368,0.988182016970212,-0.01736294881870926,-0.056229494193216406,-0.009789557032359826,0.0,0.38786385543428176,0,0
13,0.75,105,9,0.07109982607685003,0.08423165122861907,-0.013131825151769047,0.9106097398131389,1.361904761904762,1.361904761904762,0.048588257350302914,6.742857142857143,0.20952380952380953,0.11792539219807474,0.5941475064300404,0.9928543658154653,0.9962965195805947,-0.008205344337386428,-0.02643892312139552,-0.004751207996525189,0.0,0.5511278194599064,0,0
13,0.9,105,9,0.07914024527693732,0.08423165122861907,-0.005091405951681758,0.9633461760128205,0.6190476190476191,0.6190476190476191,0.019140426852803344,6.514285714285714,-0.01904761904761905,0.10224239507353372,0.6084712503611741,0.9989516377028074,0.999168328810123,-0.003179418548805302,-0.010227262303748486,-0.0018675370024914862,0.3333333333333333,0.7573203186849622,0,0
14,0.5,105,9,0.06653233726423784,0.08423165122861907,-0.01769931396438125,0.7458458659686941,4.171428571428572,4.171428571428572,0.15155295443138359,7.171428571428572,0.638095238095238,0.13994111747839208,0.591786308587948,0.9350396990054962,0.9796309292199369,-0.015478816150768992,-0.018098718591349826,-0.019520407151024932,0.0,0.44999207128616886,0,0
14,0.75,105,9,0.07409357404186395,0.08423165122861907,-0.010138077186755131,0.8400474852223876,2.533333333333333,2.533333333333333,0.08980245007671145,6.695238095238095,0.1619047619047619,0.1225755822963286,0.6038903504111075,0.9795662414160052,0.9915294648987997,-0.008615598469410528,-0.010484843016695713,-0.011313790074159153,0.0,0.581220070306273,0,0
