state_id,task,seed,step,phase,true_entity_count,true_distinct_group_count,arm,count,selected_attention_mass,feature_perturbation_relative,jaccard_vs_true
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,1,1,target_only,35,0.670051410511957,0.30767448715571943,1.0
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,1,1,top_p80,56,0.8012934733676056,0.39049804724486276,0.625
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,1,1,true_scale_150,52,0.7811525599715311,0.3713993196129665,0.6730769230769231
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,true_matched,40,0.8953252582893049,0.3461597287851749,1.0
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,wrong_entity,49,0.9215237413395357,0.38241224969955623,0.8163265306122449
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,random_cluster,40,0.8953252582893049,0.3461597287851749,1.0
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,source_only,40,0.8953252582893049,0.3461597287851749,1.0
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,target_only,40,0.8953252582893049,0.3461597287851749,1.0
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,top_p80,25,0.8052681649561071,0.26331550103477314,0.625
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,1,1,true_scale_150,60,0.9420186123828334,0.43303506277441567,0.6666666666666666
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,true_matched,23,0.6064224708622429,0.24694416393235022,1.0
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,wrong_entity,56,0.8437218205946342,0.41811282223127105,0.4107142857142857
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,random_cluster,9,0.4271226579474122,0.17036024078704587,0.391304347826087
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,source_only,23,0.6064224708622429,0.24694416393235022,1.0
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,target_only,23,0.6064224708622429,0.24694416393235022,1.0
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,top_p80,49,0.8033466837211992,0.37774095050076795,0.46938775510204084
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,1,1,true_scale_150,34,0.6988636783935277,0.31831141786114053,0.6764705882352942
google_robot_open_drawer__seed011__step011,google_robot_open_drawer,11,11,early,1,1,true_matched,48,0.8666883153010547,0.3355037261098355,1.0
google_robot_open_drawer__seed011__step011,google_robot_open_drawer,11,11,early,1,1,wrong_entity,22,0.5962525640242864,0.2199803875926127,0.4583333333333333
