split,comparison,metric,episodes,mean_difference,ci_low,ci_high,positive_fraction
validation,L9 scale 0.75 - 1.00,top_alignment,10,0.007049380950360595,-0.013657790077504567,0.02837721884262867,0.5
validation,L9 scale 0.75 - 1.00,top_minus_random,10,0.016957244969661736,-0.02509834545443847,0.05602663806976532,0.7
validation,L9 scale 0.75 - 1.00,semantic_separation,10,0.027795200143831505,-0.026311474532243796,0.06991345679540342,0.8
validation,L9 scale 0.75 - 1.00,mask_jaccard_separation,10,0.009023065569294862,-0.021414268588766616,0.0364390845611985,0.6
validation,L9 scale 1.25 - 1.00,top_alignment,10,-0.003473045882244258,-0.029209177139523815,0.022619675165435085,0.4
validation,L9 scale 1.25 - 1.00,top_minus_random,10,-0.03506419035051727,-0.0867677649040399,0.006948928880103767,0.2
validation,L9 scale 1.25 - 1.00,semantic_separation,10,0.00938510459413167,-0.027440684540469246,0.044237078088139384,0.6
validation,L9 scale 1.25 - 1.00,mask_jaccard_separation,10,-0.00032045491019498245,-0.03464727740274927,0.03442753760348395,0.6
validation,L11 scale 0.75 - 1.00,top_alignment,10,0.008014298764731073,-0.013554657270044167,0.03244011952904498,0.5
validation,L11 scale 0.75 - 1.00,top_minus_random,10,0.017922162784032164,-0.015847818109964988,0.049815634640517775,0.7
validation,L11 scale 0.75 - 1.00,semantic_separation,10,0.018471038344411453,-0.03188298899652844,0.06203967406153005,0.6
validation,L11 scale 0.75 - 1.00,mask_jaccard_separation,10,0.013419171652483217,-0.0303749064462122,0.05596160529861769,0.6
validation,L11 scale 1.25 - 1.00,top_alignment,10,0.0311372329028897,0.003505697965132281,0.059584128053370544,0.6
validation,L11 scale 1.25 - 1.00,top_minus_random,10,-0.000453911565383347,-0.06242352048804821,0.05705413711262701,0.6
validation,L11 scale 1.25 - 1.00,semantic_separation,10,-0.02574614638445789,-0.09200793623390606,0.03480766164806548,0.5
validation,L11 scale 1.25 - 1.00,mask_jaccard_separation,10,-0.022924973283946902,-0.060661072764292494,0.017317203491660556,0.4
validation,L14 scale 0.75 - 1.00,top_alignment,10,-0.004152756078459316,-0.022877516685428066,0.01453864454331346,0.5
validation,L14 scale 0.75 - 1.00,top_minus_random,10,0.005755107940841805,-0.03235380864759233,0.043198134272703755,0.6
validation,L14 scale 0.75 - 1.00,semantic_separation,10,0.013204150779435323,-0.10274938017204277,0.1254743786040931,0.5
validation,L14 scale 0.75 - 1.00,mask_jaccard_separation,10,-0.01049919624966705,-0.03914064579591168,0.018061037388756057,0.4
validation,L14 scale 1.25 - 1.00,top_alignment,10,0.021018810425039107,-0.01372404868284983,0.05684203388172579,0.8
validation,L14 scale 1.25 - 1.00,top_minus_random,10,-0.010572334043233924,-0.05414120250111053,0.027683507329378822,0.5
validation,L14 scale 1.25 - 1.00,semantic_separation,10,-0.043053305010967345,-0.0908987633441117,-0.0008979151914346351,0.2
validation,L14 scale 1.25 - 1.00,mask_jaccard_separation,10,0.008252497848980392,-0.018771902110233864,0.03601663841775527,0.5
validation,L11 - L9 at scale 0.75,top_alignment,10,0.019401086553294873,-0.027179849420259417,0.06843376888113151,0.7
validation,L11 - L9 at scale 0.75,top_minus_random,10,0.019401086553294845,-0.027614892910452587,0.06841999728471992,0.7
validation,L11 - L9 at scale 0.75,semantic_separation,10,0.030510714194376287,-0.019965465115074743,0.08803217302009506,0.4
validation,L11 - L9 at scale 0.75,mask_jaccard_separation,10,0.07356054386834512,0.018651827879126347,0.12974976776374733,0.7
validation,L11 - L14 at scale 0.75,top_alignment,10,0.024519412877564494,-0.01527736129192312,0.06332286463501832,0.7
validation,L11 - L14 at scale 0.75,top_minus_random,10,0.024519412877564477,-0.016251130889035237,0.06345030071790854,0.7
validation,L11 - L14 at scale 0.75,semantic_separation,10,0.0213201956458214,-0.12613098344907603,0.17077609485921974,0.6
validation,L11 - L14 at scale 0.75,mask_jaccard_separation,10,0.058367280485313956,-0.019637551299770895,0.13456459089936032,0.6
validation,L11 - L9 at scale 1.00,top_alignment,10,0.018436168738924393,-0.023952966768173607,0.05872451641752066,0.6
validation,L11 - L9 at scale 1.00,top_minus_random,10,0.018436168738924414,-0.023235509767638673,0.05875562291230858,0.6
validation,L11 - L9 at scale 1.00,semantic_separation,10,0.039834875993796336,-0.0017381561796104732,0.08567464500192534,0.8
validation,L11 - L9 at scale 1.00,mask_jaccard_separation,10,0.06916443778515677,0.027670890651321247,0.12130957591946352,0.8
