split,task,seed,layer,scale,mean_count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,open_drawer,56,11,1.25,46.0,0.37892380514444307,0.3226471650667725,0.921418737483409,0.8656802400785377,0.055738497404871246,0.8390948275862069,0.8061864061864062,0.03290842139980069
exploration,open_drawer,56,14,0.75,28.0,0.383886965144482,0.3752584383606869,0.753874766211721,0.8555098456133036,-0.10163507940158256,0.8740740740740741,0.8228690228690229,0.05120505120505118
exploration,open_drawer,56,14,1.0,37.0,0.4002717315665458,0.3807871284584908,0.9455490077413443,0.8760003627234965,0.0695486450178479,0.8951525054466231,0.8246963562753037,0.07045614917131941
exploration,open_drawer,56,14,1.25,46.0,0.3468761188326406,0.29059947875497,0.9765485967046831,0.919050254877453,0.057498341827230015,0.9255444427858222,0.8978764585960989,0.02766798418972331
exploration,open_drawer,93,9,0.75,28.333333333333332,0.27604110594437664,0.21693932218032744,0.9371394205745672,0.9253363648768277,0.01180305569773954,0.8163398692810456,0.8473317532141061,-0.030991883933060405
exploration,open_drawer,93,9,1.0,38.0,0.30816253869155935,0.21098387043228808,0.8901540979275117,0.8798365687022026,0.010317529225309078,0.8996184746800004,0.9181051786431151,-0.018486703963114692
exploration,open_drawer,93,9,1.25,47.666666666666664,0.2881204639648645,0.20332586578636758,0.9157287387963114,0.9488554990535011,-0.0331267602571896,0.909420508792072,0.9505494505494506,-0.041128941757378544
exploration,open_drawer,93,11,0.75,28.333333333333332,0.26329307335130864,0.20419128958725943,0.9191673938232912,0.8566965736903307,0.06247082013296035,0.7721538227694178,0.7115971747550695,0.06055664801434831
exploration,open_drawer,93,11,1.0,38.0,0.2823450032647257,0.18516633500545443,0.9406020128707807,0.9030444479597808,0.03755756491100004,0.9478114478114478,0.7728920409771473,0.1749194068343005
exploration,open_drawer,93,11,1.25,47.666666666666664,0.312014231731319,0.22721963355282201,0.9525869267844914,0.7839160694346639,0.16867085734982754,0.8992803855548953,0.8036961911201262,0.09558419443476918
exploration,open_drawer,93,14,0.75,28.333333333333332,0.3290252706998296,0.26992348693578044,0.9452915764663657,0.8316753756152488,0.11361620085111686,0.9210372960372961,0.8525861194440821,0.06845117659321391
exploration,open_drawer,93,14,1.0,38.0,0.30007742040917124,0.20289875214989994,0.9847816146051933,0.9356196393182143,0.04916197528697893,0.9386243386243386,0.8990851915380218,0.03953914708631686
exploration,open_drawer,93,14,1.25,47.666666666666664,0.30053674083171084,0.21574214265321387,0.9305791498828616,0.9624086098432992,-0.031829459960437546,0.8945054945054944,0.8732816890711628,0.02122380543433174
exploration,open_drawer,95,9,0.75,35.333333333333336,0.3787120371179944,0.3036338473738442,0.8513049056544114,0.7825862473038047,0.06871865835060693,0.9278752436647174,0.7366660799155079,0.19120916374920952
exploration,open_drawer,95,9,1.0,47.333333333333336,0.43875727763067235,0.3430343079962881,0.8925603643970953,0.8654970793126626,0.027063285084432676,0.8684967320261437,0.8045480000367219,0.06394873198942193
exploration,open_drawer,95,9,1.25,59.333333333333336,0.39478504200612624,0.27311408132730325,0.9366339273123919,0.9088353657243498,0.027798561588042243,0.8938172043010754,0.8643765508684864,0.02944065343258891
exploration,open_drawer,95,11,0.75,35.333333333333336,0.4378885003492073,0.3628103106050571,0.8884383325401979,0.8418083412963653,0.04662999124383264,0.8600503337345442,0.6409362107523756,0.21911412298216862
exploration,open_drawer,95,11,1.0,47.333333333333336,0.41899000105909073,0.3232670314247064,0.9755759966378778,0.9043957334119824,0.0711802632258954,0.9210457516339869,0.6783894944576625,0.24265625717632447
exploration,open_drawer,95,11,1.25,59.333333333333336,0.4006398477158127,0.27896888703698974,0.9834968502027217,0.7989654038733033,0.18453144632941829,0.9045533668253128,0.7396597955421486,0.16489357128316443
exploration,open_drawer,95,14,0.75,35.333333333333336,0.3584095652748545,0.28333137553070425,0.9095287799184829,0.8698009236065203,0.03972785631196255,0.8762446657183499,0.792512608302082,0.08373205741626792
exploration,open_drawer,95,14,1.0,47.333333333333336,0.3715244944223675,0.2758015247879832,0.91915733533647,0.9043228108187003,0.014834524517769898,0.9319727891156463,0.8045480000367219,0.1274247890789244
exploration,open_drawer,95,14,1.25,59.333333333333336,0.39696977130958055,0.2752988106307576,0.8994926774419589,0.8677741537473525,0.03171852369460645,0.9245381212594328,0.8195522774327122,0.10498584382672053
exploration,open_drawer,97,9,0.75,24.666666666666668,0.36356867049012864,0.32659638537241037,0.8816867810539245,0.8731169273065675,0.00856985374735697,0.9099206349206349,0.7359625668449198,0.17395806807571512
exploration,open_drawer,97,9,1.0,32.666666666666664,0.39052197846393527,0.37013636283757023,0.9599725849198776,0.8491712198958212,0.11080136502405642,0.9523809523809524,0.8644665650315367,0.08791438734941559
exploration,open_drawer,97,9,1.25,40.666666666666664,0.3459079375287921,0.34483933171128084,0.9419003755838831,0.9073947735009248,0.03450560208295824,0.922956645344705,0.8703284732696498,0.052628172075055324
exploration,open_drawer,97,11,0.75,24.666666666666668,0.4459382891761579,0.40896600405843975,0.9566772282869271,0.6745339791113829,0.2821432491755441,0.9099206349206349,0.6343434343434343,0.27557720057720053
exploration,open_drawer,97,11,1.0,32.666666666666664,0.3177333891853944,0.2973477735590293,0.9328313338775018,0.8678754197601793,0.06495591411732249,0.9021239650170468,0.7584415584415584,0.14368240657548836
exploration,open_drawer,97,11,1.25,40.666666666666664,0.3174890808180994,0.3164204750005882,0.974728293170077,0.9404493071208724,0.034278986049204575,0.9152427905720267,0.7895783229116562,0.1256644676603705
exploration,open_drawer,97,14,0.75,24.666666666666668,0.2783557940658605,0.24138350894814228,0.9501324292713832,0.808239861430148,0.1418925678412352,0.9068736141906873,0.7510606060606061,0.15581300813008128
exploration,open_drawer,97,14,1.0,32.666666666666664,0.28288261141188314,0.2624969957855181,0.8670408908271264,0.8932064667416638,-0.02616557591453746,0.873015873015873,0.8126788465771516,0.06033702643872133
exploration,open_drawer,97,14,1.25,40.666666666666664,0.2959062430501,0.29483763723258877,0.9688580525091965,0.8743195782692715,0.09453847423992497,0.9010034990427146,0.758006126427179,0.1429973726155357
exploration,open_drawer,99,9,0.75,28.0,0.2620042390234219,0.29456432417673145,0.9126789060492135,0.9421632676298617,-0.029484361580648155,0.902020202020202,0.9095238095238095,-0.007503607503607494
exploration,open_drawer,99,9,1.0,37.0,0.30233271394264966,0.2221485890781368,0.968218182591456,0.9289284542426084,0.03928972834884755,0.8778730703259005,0.8404040404040405,0.03746902992186011
exploration,open_drawer,99,9,1.25,46.0,0.2840392284333116,0.20894733032446178,0.9350896867689515,0.9060849070338514,0.02900477973510022,0.8926501418177334,0.846749226006192,0.04590091581154143
exploration,open_drawer,99,11,0.75,28.0,0.23615977179007708,0.26871985694338657,0.9494509025220387,0.9103852053278992,0.03906569719413955,0.8092592592592593,0.7938121047877145,0.01544715447154473
exploration,open_drawer,99,11,1.0,37.0,0.29218305616148327,0.21199893129697042,0.9520703998594939,0.9294038735183258,0.022666526341168353,0.8861244019138756,0.8344664853623421,0.051657916551533546
exploration,open_drawer,99,11,1.25,46.0,0.28849022009522385,0.21339832198637407,0.9229965858220531,0.9037566704600534,0.01923991536199972,0.899551066217733,0.8331652661064425,0.06638580011129036
exploration,open_drawer,99,14,0.75,28.0,0.3862096710910035,0.41876975624431306,0.9380988269978814,0.9508286104365435,-0.012729783438662193,0.8992458521870287,0.8254985754985755,0.07374727668845316
exploration,open_drawer,99,14,1.0,37.0,0.3273569727041851,0.24717284783967228,0.9663828590412837,0.9297118075652021,0.03667105147608148,0.9050089445438282,0.8902097902097902,0.014799154334038075
exploration,open_drawer,99,14,1.25,46.0,0.28792778149943477,0.21283588339058493,0.9715963508752395,0.9676788342654737,0.0039175166097658405,0.9144488361879666,0.8782300618121514,0.036218774375815256
