dataset,task,seed,step,state_id,outcome_group,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
cached_90,move_near,95,71,google_robot_move_near__seed095__step071,both_success,0.5,gaussian,46,0.6428571428571429,0.782608695652174,10,10,4,0.043478260869565216,0.9130434782608695,1.0,,,
cached_90,move_near,95,71,google_robot_move_near__seed095__step071,both_success,0.5,both,46,0.6428571428571429,0.782608695652174,10,10,4,0.043478260869565216,0.9130434782608695,1.0,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,1.0,raw,59,1.0,1.0,0,0,7,0.05084745762711865,0.5423728813559322,0.9032258064516129,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,1.0,corners,59,0.9666666666666667,0.9830508474576272,1,1,8,0.06779661016949153,0.5254237288135594,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,1.0,gaussian,59,0.7101449275362319,0.8305084745762712,10,10,4,0.01694915254237288,0.864406779661017,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,1.0,both,59,0.6857142857142857,0.8135593220338984,11,11,4,0.01694915254237288,0.864406779661017,0.9032258064516129,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.9,raw,59,1.0,1.0,0,0,7,0.05084745762711865,0.5423728813559322,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.9,corners,59,0.9666666666666667,0.9830508474576272,1,1,7,0.05084745762711865,0.5423728813559322,0.9344262295081968,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.9,gaussian,59,0.7352941176470589,0.847457627118644,9,9,5,0.01694915254237288,0.6440677966101694,0.9666666666666667,,,
cached_90,move_near,98,8,google_robot_move_near__seed098__step008,both_success,0.9,both,59,0.7101449275362319,0.8305084745762712,10,10,4,0.01694915254237288,0.8305084745762712,0.9344262295081968,,,
