dataset,task,seed,step,state_id,outcome_group,l11_success,sparse_success,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio
initial_400,open_drawer,3,0,google_robot_open_drawer__seed003__initial,both_fail,0,0,0.5,both,4,0.6,0.75,1,1,1,0.0,1.0
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,1.0,raw,49,1.0,1.0,0,0,6,0.08163265306122448,0.673469387755102
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,1.0,corners,49,1.0,1.0,0,0,6,0.08163265306122448,0.673469387755102
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,1.0,gaussian,49,0.75,0.8571428571428571,7,7,3,0.02040816326530612,0.673469387755102
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,1.0,both,49,0.75,0.8571428571428571,7,7,3,0.02040816326530612,0.673469387755102
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.9,raw,49,0.9215686274509803,0.9591836734693877,2,2,7,0.10204081632653061,0.6530612244897959
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.9,corners,49,0.9215686274509803,0.9591836734693877,2,2,7,0.10204081632653061,0.6530612244897959
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.9,gaussian,49,0.7818181818181819,0.8775510204081632,6,6,5,0.061224489795918366,0.673469387755102
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.9,both,49,0.7818181818181819,0.8775510204081632,6,6,5,0.061224489795918366,0.673469387755102
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.75,raw,49,0.8846153846153846,0.9387755102040817,3,3,8,0.12244897959183673,0.6326530612244898
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.75,corners,49,0.8846153846153846,0.9387755102040817,3,3,8,0.12244897959183673,0.6326530612244898
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.75,gaussian,49,0.8148148148148148,0.8979591836734694,5,5,5,0.061224489795918366,0.6938775510204082
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.75,both,49,0.8148148148148148,0.8979591836734694,5,5,5,0.061224489795918366,0.6938775510204082
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.5,raw,49,0.8490566037735849,0.9183673469387755,4,4,8,0.10204081632653061,0.6326530612244898
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.5,corners,49,0.8490566037735849,0.9183673469387755,4,4,8,0.10204081632653061,0.6326530612244898
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.5,gaussian,49,0.8148148148148148,0.8979591836734694,5,5,5,0.061224489795918366,0.7142857142857143
initial_400,open_drawer,4,0,google_robot_open_drawer__seed004__initial,sparse_win,0,1,0.5,both,49,0.8148148148148148,0.8979591836734694,5,5,5,0.061224489795918366,0.7142857142857143
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,1.0,raw,41,1.0,1.0,0,0,6,0.07317073170731707,0.6097560975609756
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,1.0,corners,41,1.0,1.0,0,0,6,0.07317073170731707,0.6097560975609756
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,1.0,gaussian,41,0.782608695652174,0.8780487804878049,5,5,3,0.0,0.7073170731707317
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,1.0,both,41,0.782608695652174,0.8780487804878049,5,5,3,0.0,0.7073170731707317
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.9,raw,41,0.9523809523809523,0.975609756097561,1,1,6,0.07317073170731707,0.6097560975609756
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.9,corners,41,1.0,1.0,0,0,6,0.07317073170731707,0.6097560975609756
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.9,gaussian,41,0.782608695652174,0.8780487804878049,5,5,3,0.0,0.7073170731707317
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.9,both,41,0.782608695652174,0.8780487804878049,5,5,3,0.0,0.7073170731707317
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.75,raw,41,0.8636363636363636,0.926829268292683,3,3,6,0.07317073170731707,0.6341463414634146
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.75,corners,41,0.9069767441860465,0.9512195121951219,2,2,7,0.0975609756097561,0.6341463414634146
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.75,gaussian,41,0.7446808510638298,0.8536585365853658,6,6,4,0.024390243902439025,0.7560975609756098
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.75,both,41,0.7446808510638298,0.8536585365853658,6,6,4,0.024390243902439025,0.7560975609756098
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.5,raw,41,0.8636363636363636,0.926829268292683,3,3,6,0.07317073170731707,0.6341463414634146
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.5,corners,41,0.8636363636363636,0.926829268292683,3,3,6,0.04878048780487805,0.6341463414634146
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.5,gaussian,41,0.7446808510638298,0.8536585365853658,6,6,5,0.04878048780487805,0.7560975609756098
initial_400,open_drawer,5,0,google_robot_open_drawer__seed005__initial,both_fail,0,0,0.5,both,41,0.7083333333333334,0.8292682926829268,7,7,4,0.024390243902439025,0.7804878048780488
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,1.0,raw,48,1.0,1.0,0,0,8,0.125,0.6666666666666666
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,1.0,corners,48,0.9591836734693877,0.9791666666666666,1,1,7,0.10416666666666667,0.6666666666666666
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,1.0,gaussian,48,0.7454545454545455,0.8541666666666666,7,7,3,0.020833333333333332,0.7291666666666666
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,1.0,both,48,0.7454545454545455,0.8541666666666666,7,7,2,0.0,0.75
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.9,raw,48,0.9591836734693877,0.9791666666666666,1,1,8,0.125,0.6666666666666666
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.9,corners,48,0.9591836734693877,0.9791666666666666,1,1,7,0.10416666666666667,0.6875
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.9,gaussian,48,0.7777777777777778,0.875,6,6,3,0.020833333333333332,0.75
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.9,both,48,0.7454545454545455,0.8541666666666666,7,7,2,0.0,0.75
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.75,raw,48,0.92,0.9583333333333334,2,2,8,0.125,0.6666666666666666
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.75,corners,48,0.92,0.9583333333333334,2,2,8,0.125,0.6666666666666666
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.75,gaussian,48,0.7777777777777778,0.875,6,6,3,0.020833333333333332,0.75
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.75,both,48,0.7454545454545455,0.8541666666666666,7,7,2,0.0,0.75
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.5,raw,48,0.8823529411764706,0.9375,3,3,7,0.10416666666666667,0.6458333333333334
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.5,corners,48,0.8823529411764706,0.9375,3,3,6,0.08333333333333333,0.6458333333333334
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.5,gaussian,48,0.7777777777777778,0.875,6,6,3,0.020833333333333332,0.75
initial_400,open_drawer,6,0,google_robot_open_drawer__seed006__initial,both_success,1,1,0.5,both,48,0.7454545454545455,0.8541666666666666,7,7,2,0.0,0.75
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,1.0,raw,37,1.0,1.0,0,0,13,0.24324324324324326,0.3783783783783784
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,1.0,corners,37,0.9473684210526315,0.972972972972973,1,1,12,0.21621621621621623,0.43243243243243246
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,1.0,gaussian,37,0.6818181818181818,0.8108108108108109,7,7,5,0.02702702702702703,0.5135135135135135
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,1.0,both,37,0.6818181818181818,0.8108108108108109,7,7,6,0.08108108108108109,0.5135135135135135
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.9,raw,37,0.9473684210526315,0.972972972972973,1,1,11,0.1891891891891892,0.43243243243243246
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.9,corners,37,0.8974358974358975,0.9459459459459459,2,2,11,0.1891891891891892,0.4594594594594595
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.9,gaussian,37,0.7209302325581395,0.8378378378378378,6,6,5,0.05405405405405406,0.5675675675675675
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.9,both,37,0.6818181818181818,0.8108108108108109,7,7,5,0.08108108108108109,0.5675675675675675
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.75,raw,37,0.8048780487804879,0.8918918918918919,4,4,9,0.16216216216216217,0.43243243243243246
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.75,corners,37,0.8048780487804879,0.8918918918918919,4,4,10,0.1891891891891892,0.43243243243243246
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.75,gaussian,37,0.7209302325581395,0.8378378378378378,6,6,5,0.05405405405405406,0.5675675675675675
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.75,both,37,0.6818181818181818,0.8108108108108109,7,7,5,0.08108108108108109,0.5945945945945946
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.5,raw,37,0.7209302325581395,0.8378378378378378,6,6,8,0.13513513513513514,0.4864864864864865
initial_400,open_drawer,7,0,google_robot_open_drawer__seed007__initial,both_success,1,1,0.5,corners,37,0.7209302325581395,0.8378378378378378,6,6,8,0.13513513513513514,0.4864864864864865
