task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,l11_win,0.9,gaussian,71,0.6898317057432545,0.8112063040051225,5.52112676056338,5.52112676056338,3.8450704225352115,0.03847089862782333,0.5934152606878782,,,,
ALL,l11_win,0.9,raw,71,0.9178738622581389,0.954992757542441,1.2816901408450705,1.2816901408450705,7.422535211267606,0.14250642670808122,0.46741958593944477,,,,
ALL,l11_win,1.0,both,71,0.6759003875046995,0.802403957086896,5.887323943661972,5.887323943661972,3.3661971830985915,0.030903560971893524,0.5967000335316834,,,,
ALL,l11_win,1.0,corners,71,0.9854391347730685,0.9925002232593512,0.323943661971831,0.323943661971831,6.957746478873239,0.13460189386339874,0.476064863771152,,,,
ALL,l11_win,1.0,gaussian,71,0.6798774509239621,0.8049201797436555,5.774647887323944,5.774647887323944,3.5774647887323945,0.03349485811952497,0.5919553146801224,,,,
ALL,l11_win,1.0,raw,71,1.0,1.0,0.0,0.0,7.028169014084507,0.13468509155069933,0.47106111714921794,,,,
ALL,sparse_win,0.5,both,41,0.5864074457589827,0.7231428761015499,6.439024390243903,6.439024390243903,3.8780487804878048,0.04790856969161245,0.6099366524558748,,,,
ALL,sparse_win,0.5,corners,41,0.6590841892549605,0.777918086795552,4.7560975609756095,4.7560975609756095,7.853658536585366,0.2316076914709664,0.4310521333359904,,,,
ALL,sparse_win,0.5,gaussian,41,0.5885226560619772,0.7246025952441959,6.365853658536586,6.365853658536586,3.975609756097561,0.04917681952826103,0.6089629707822992,,,,
ALL,sparse_win,0.5,raw,41,0.6599303063134161,0.7784483094890832,4.7317073170731705,4.7317073170731705,7.926829268292683,0.23185968114501335,0.42878810921353583,,,,
ALL,sparse_win,0.75,both,41,0.6326841653335374,0.7636934022592538,5.536585365853658,5.536585365853658,3.658536585365854,0.038989892928844444,0.5819895283554855,,,,
ALL,sparse_win,0.75,corners,41,0.7950773083047424,0.8812325726341028,2.682926829268293,2.682926829268293,7.317073170731708,0.2032064009935556,0.4512175624960777,,,,
ALL,sparse_win,0.75,gaussian,41,0.6355343129159139,0.7655139674016641,5.439024390243903,5.439024390243903,3.731707317073171,0.039709978192938186,0.5811426448866508,,,,
ALL,sparse_win,0.75,raw,41,0.7989085165611736,0.883391891164047,2.5609756097560976,2.5609756097560976,7.414634146341464,0.20301493168755824,0.4419665154401526,,,,
ALL,sparse_win,0.9,both,41,0.685405503943849,0.810053851637277,5.146341463414634,5.146341463414634,3.682926829268293,0.033440343681024734,0.5532803120695315,,,,
ALL,sparse_win,0.9,corners,41,0.927853900978811,0.9614426791958919,1.0975609756097562,1.0975609756097562,6.585365853658536,0.1565028524163012,0.4747952834356337,,,,
ALL,sparse_win,0.9,gaussian,41,0.6883016798386481,0.8119791223721978,5.048780487804878,5.048780487804878,3.8048780487804876,0.0360210285787828,0.5523287230081864,,,,
ALL,sparse_win,0.9,raw,41,0.9302712986499097,0.962733021644771,1.024390243902439,1.024390243902439,6.7073170731707314,0.15787995857866718,0.46615707205351997,,,,
ALL,sparse_win,1.0,both,41,0.6706008654511553,0.7995058597939954,5.487804878048781,5.487804878048781,3.3902439024390243,0.0286548548361666,0.5586216022884128,,,,
ALL,sparse_win,1.0,corners,41,0.9939410893365578,0.9968890924087107,0.17073170731707318,0.17073170731707318,6.658536585365853,0.16477150650432756,0.473370409682616,,,,
ALL,sparse_win,1.0,gaussian,41,0.6735422273864197,0.8014958016301726,5.390243902439025,5.390243902439025,3.4634146341463414,0.03011457397881257,0.5567363660447461,,,,
ALL,sparse_win,1.0,raw,41,1.0,1.0,0.0,0.0,6.7560975609756095,0.165088167279631,0.4647321983005022,,,,
close_drawer,ALL,0.5,both,100,0.5662188909888951,0.716165804875156,7.76,7.76,3.33,0.031155605064752928,0.709486371135627,,,,
close_drawer,ALL,0.5,corners,100,0.6632450220044598,0.7925575563579516,5.54,5.54,7.82,0.172805712031394,0.5067804432569705,,,,
close_drawer,ALL,0.5,gaussian,100,0.5720967902356388,0.7207505346405751,7.58,7.58,3.47,0.03215293327077124,0.7047470028313353,,,,
close_drawer,ALL,0.5,raw,100,0.6675572159400714,0.7954159089248531,5.42,5.42,7.91,0.17326124201658064,0.504064313524148,,,,
close_drawer,ALL,0.75,both,100,0.644726671317484,0.7798479927904571,6.14,6.14,3.31,0.032125062839847104,0.6685546414549673,,,,
close_drawer,ALL,0.75,corners,100,0.7848361116988772,0.8768448553154744,3.42,3.42,7.56,0.165099638083931,0.4938923073767088,,,,
close_drawer,ALL,0.75,gaussian,100,0.6509846129881598,0.7842547092065508,5.98,5.98,3.43,0.032601378747232145,0.6625925851641128,,,,
close_drawer,ALL,0.75,raw,100,0.7891336516940103,0.8794395860274627,3.3,3.3,7.74,0.16618924853327613,0.4855675294153316,,,,
close_drawer,ALL,0.9,both,100,0.675411383207705,0.8025372201168521,5.53,5.53,3.07,0.02842704562189672,0.6464929572832058,,,,
close_drawer,ALL,0.9,corners,100,0.8930118135520838,0.9422575804906859,1.62,1.62,6.96,0.143768088960295,0.4861248414098612,,,,
close_drawer,ALL,0.9,gaussian,100,0.6788796986867935,0.8050168347712695,5.42,5.42,3.23,0.03175741312954184,0.642633774356419,,,,
close_drawer,ALL,0.9,raw,100,0.9014786495325992,0.9470435794912276,1.43,1.43,7.13,0.14529789759501668,0.47733914914696673,,,,
close_drawer,ALL,1.0,both,100,0.6747322476995242,0.8023107826318282,5.54,5.54,3.12,0.026199095371287538,0.6133263544835568,,,,
close_drawer,ALL,1.0,corners,100,0.9797669897588751,0.9895405132449003,0.39,0.39,6.57,0.12860092842511006,0.47974003290084793,,,,
close_drawer,ALL,1.0,gaussian,100,0.6823165298292544,0.8073874344059265,5.36,5.36,3.28,0.03008636739120559,0.6091731357748085,,,,
close_drawer,ALL,1.0,raw,100,1.0,1.0,0.0,0.0,6.79,0.13454260772781237,0.4687216829013734,,,,
close_drawer,both_fail,0.5,both,12,0.5882343379318699,0.7358227810114552,7.25,7.25,3.0833333333333335,0.038059040332774796,0.7738350213898654,,,,
close_drawer,both_fail,0.5,corners,12,0.6969755295023502,0.8162464933499637,4.833333333333333,4.833333333333333,8.0,0.19104398955984192,0.5321345314737589,,,,
close_drawer,both_fail,0.5,gaussian,12,0.5882343379318699,0.7358227810114552,7.25,7.25,3.0833333333333335,0.032979472273667085,0.7687554533307576,,,,
close_drawer,both_fail,0.5,raw,12,0.6969755295023502,0.8162464933499637,4.833333333333333,4.833333333333333,8.0,0.18923239535694336,0.5321345314737589,,,,
close_drawer,both_fail,0.75,both,12,0.6401439327337075,0.7763449595230396,6.333333333333333,6.333333333333333,2.9166666666666665,0.025549119697854155,0.7488270203133727,,,,
close_drawer,both_fail,0.75,corners,12,0.7908385057022976,0.8803136876939681,3.25,3.25,7.083333333333333,0.1534235718275316,0.5293649953734617,,,,
close_drawer,both_fail,0.75,gaussian,12,0.6429257421192905,0.7781565537259382,6.25,6.25,3.0,0.02443780560700042,0.739779198286011,,,,
close_drawer,both_fail,0.75,raw,12,0.7908385057022976,0.8803136876939681,3.25,3.25,7.166666666666667,0.15015559797132247,0.5260970215172526,,,,
close_drawer,both_fail,0.9,both,12,0.6564583489203609,0.7895416026230583,6.25,6.25,2.8333333333333335,0.025549119697854155,0.7348445997589441,,,,
close_drawer,both_fail,0.9,corners,12,0.8992970740021557,0.9459545839825186,1.5,1.5,7.416666666666667,0.17173723712373504,0.496478843036465,,,,
close_drawer,both_fail,0.9,gaussian,12,0.668475161860282,0.7985894246504199,5.916666666666667,5.916666666666667,2.9166666666666665,0.02624939980989897,0.7276083719344809,,,,
close_drawer,both_fail,0.9,raw,12,0.9086353213221372,0.9510341520416262,1.25,1.25,7.416666666666667,0.16665766906462734,0.49321086918025586,,,,
close_drawer,both_fail,1.0,both,12,0.6482701432773271,0.7837854610859836,6.416666666666667,6.416666666666667,3.0833333333333335,0.03163938338953772,0.6964589396478232,,,,
close_drawer,both_fail,1.0,corners,12,0.9900436442989635,0.9949204319408923,0.25,0.25,7.166666666666667,0.16237289356022272,0.49478892731505403,,,,
close_drawer,both_fail,1.0,gaussian,12,0.6551651925269363,0.7888650291450915,6.166666666666667,6.166666666666667,3.0833333333333335,0.03163938338953772,0.6964589396478232,,,,
close_drawer,both_fail,1.0,raw,12,1.0,1.0,0.0,0.0,7.333333333333333,0.15910491970401355,0.4849850057464266,,,,
close_drawer,both_success,0.5,both,66,0.5643013656219248,0.7158438957883987,7.833333333333333,7.833333333333333,3.272727272727273,0.027964649823712696,0.6909205880839617,,,,
close_drawer,both_success,0.5,corners,66,0.6556969445970361,0.7879835149059227,5.712121212121212,5.712121212121212,7.651515151515151,0.16905657438677357,0.4947232646426938,,,,
close_drawer,both_success,0.5,gaussian,66,0.5706755988970048,0.7207476959317576,7.636363636363637,7.636363636363637,3.4696969696969697,0.032561014156095254,0.6870354257172213,,,,
close_drawer,both_success,0.5,raw,66,0.6594212469679955,0.7904309698103359,5.606060606060606,5.606060606060606,7.7727272727272725,0.16912985215118828,0.49163649359053546,,,,
close_drawer,both_success,0.75,both,66,0.6465758887314953,0.7818043996044046,6.075757575757576,6.075757575757576,3.1515151515151514,0.02801592055710708,0.6565270569594456,,,,
close_drawer,both_success,0.75,corners,66,0.7800220514137772,0.8739209206440294,3.4696969696969697,3.4696969696969697,7.7272727272727275,0.1720333532340422,0.4815932910688344,,,,
close_drawer,both_success,0.75,gaussian,66,0.6546977287048548,0.787612043420328,5.878787878787879,5.878787878787879,3.3636363636363638,0.032444935437866,0.6498378931510803,,,,
close_drawer,both_success,0.75,raw,66,0.7852109372365054,0.87710207462867,3.3333333333333335,3.3333333333333335,7.9393939393939394,0.174886156829058,0.4744142355321865,,,,
close_drawer,both_success,0.9,both,66,0.6798328003034915,0.8059271794717292,5.378787878787879,5.378787878787879,2.9393939393939394,0.024845214424710382,0.6375190158048526,,,,
close_drawer,both_success,0.9,corners,66,0.8875042360235526,0.9390660798059246,1.6818181818181819,1.6818181818181819,6.924242424242424,0.142798480626179,0.4776008477984429,,,,
close_drawer,both_success,0.9,gaussian,66,0.6824336088133909,0.8077097320577685,5.287878787878788,5.287878787878788,3.1515151515151514,0.029831785275594106,0.6345414482863522,,,,
close_drawer,both_success,0.9,raw,66,0.8973414438299091,0.9446948393504675,1.4696969696969697,1.4696969696969697,7.136363636363637,0.14647762895784636,0.4699338749699339,,,,
close_drawer,both_success,1.0,both,66,0.6799619224591021,0.806023495406879,5.333333333333333,5.333333333333333,3.0454545454545454,0.024122820472627097,0.6032588612010721,,,,
close_drawer,both_success,1.0,corners,66,0.9774847668341744,0.988357625469822,0.4090909090909091,0.4090909090909091,6.5,0.12521020620947895,0.4732031565259685,,,,
close_drawer,both_success,1.0,gaussian,66,0.6890250231326587,0.8119736948879339,5.136363636363637,5.136363636363637,3.287878787878788,0.03050138511668671,0.5975059240563576,,,,
close_drawer,both_success,1.0,raw,66,1.0,1.0,0.0,0.0,6.7727272727272725,0.1333718691720022,0.4633417230745961,,,,
close_drawer,l11_win,0.5,both,16,0.529425093320915,0.6827799100151836,7.875,7.875,3.75,0.04505789909015716,0.7332879004469116,,,,
close_drawer,l11_win,0.5,corners,16,0.6503691843201775,0.7808215072678607,5.25,5.25,8.3125,0.19053666062782473,0.507503484418807,,,,
close_drawer,l11_win,0.5,gaussian,16,0.5398682513533588,0.6912062954576981,7.5625,7.5625,3.75,0.03663151364764268,0.7248615150043971,,,,
close_drawer,l11_win,0.5,raw,16,0.6597894741752501,0.7872317636781171,5.0,5.0,8.3125,0.19493078800582309,0.5054873553865489,,,,
close_drawer,l11_win,0.75,both,16,0.6106020784680715,0.7539358053120325,6.3125,6.3125,4.0,0.057035323839321035,0.6630826527960119,,,,
close_drawer,l11_win,0.75,corners,16,0.8020426135415434,0.8875359110851748,3.0,3.0,7.25,0.1601670010681231,0.47818891312054,,,,
close_drawer,l11_win,0.75,gaussian,16,0.6106020784680715,0.7539358053120325,6.3125,6.3125,3.75,0.04219868198655015,0.6610665237637539,,,,
close_drawer,l11_win,0.75,raw,16,0.8020426135415434,0.8875359110851748,3.0,3.0,7.25,0.15815087203586503,0.47818891312054,,,,
close_drawer,l11_win,0.9,both,16,0.6589924239389473,0.7904156137807961,5.25,5.25,3.5,0.04836057467544143,0.6262234230239139,,,,
close_drawer,l11_win,0.9,corners,16,0.9070986747875667,0.9502268885859348,1.375,1.375,6.9375,0.14119783617504517,0.46013061272528316,,,,
close_drawer,l11_win,0.9,gaussian,16,0.6589924239389473,0.7904156137807961,5.25,5.25,3.5,0.046344445643183366,0.6198131666136575,,,,
close_drawer,l11_win,0.9,raw,16,0.9107681823633242,0.952243017618193,1.3125,1.3125,6.875,0.13716557811052904,0.46013061272528316,,,,
close_drawer,l11_win,1.0,both,16,0.6604425409976199,0.7918370184630704,5.3125,5.3125,3.0625,0.02893122684935448,0.5933882036616959,,,,
close_drawer,l11_win,1.0,corners,16,0.9799242424242425,0.9895574855252275,0.375,0.375,6.3125,0.1246192768194872,0.4457310338095752,,,,
close_drawer,l11_win,1.0,gaussian,16,0.663351700156779,0.7938531474953285,5.25,5.25,3.0625,0.026915097817096414,0.5933882036616959,,,,
close_drawer,l11_win,1.0,raw,16,1.0,1.0,0.0,0.0,6.3125,0.13102953322974362,0.4457310338095752,,,,
close_drawer,sparse_win,0.5,both,6,0.6413975699208978,0.7694219055168153,7.666666666666667,7.666666666666667,3.3333333333333335,0.015376458112407211,0.7215419393653751,,,,
close_drawer,sparse_win,0.5,corners,6,0.7131484256484256,0.8267902692531536,5.833333333333333,5.833333333333333,8.0,0.1302871414748403,0.5867731218155398,,,,
close_drawer,sparse_win,0.5,gaussian,6,0.6413975699208978,0.7694219055168153,7.666666666666667,7.666666666666667,3.5,0.014068084521424926,0.7179187509595781,,,,
close_drawer,sparse_win,0.5,raw,6,0.7189302255478726,0.8304134576589507,5.666666666666667,5.666666666666667,8.166666666666666,0.128978767883858,0.5808351185949278,,,,
close_drawer,sparse_win,0.75,both,6,0.7245496711960127,0.8344327509810011,6.0,6.0,4.0,0.024050151568709363,0.6549052829461101,,,,
close_drawer,sparse_win,0.75,corners,6,0.7799019819143657,0.8735609898918488,4.333333333333333,4.333333333333333,7.5,0.12533460265432694,0.6001118287862721,,,,
close_drawer,sparse_win,0.75,gaussian,6,0.7339448405624877,0.8403707542016131,5.666666666666667,5.666666666666667,4.166666666666667,0.025056592792541892,0.6525904681312952,,,,
close_drawer,sparse_win,0.75,raw,6,0.7944499044499044,0.8818138079272755,3.8333333333333335,3.8333333333333335,8.0,0.12402622906334466,0.5468710880455313,,,,
close_drawer,sparse_win,0.9,both,6,0.7084657551120966,0.8235631857636099,6.5,6.5,3.8333333333333335,0.020426963162912263,0.6225551199517265,,,,
close_drawer,sparse_win,0.9,corners,6,0.9034596821711668,0.9487185927854008,1.8333333333333333,1.8333333333333333,6.5,0.10534949173602405,0.628498711041129,,,,
close_drawer,sparse_win,0.9,gaussian,6,0.7136284936081685,0.8271863741694071,6.333333333333333,6.333333333333333,4.0,0.025056592792541892,0.6225551199517265,,,,
close_drawer,sparse_win,0.9,raw,6,0.9079024811345137,0.9510334076002156,1.6666666666666667,1.6666666666666667,7.166666666666667,0.111287494956636,0.5729431554855734,,,,
close_drawer,sparse_win,1.0,both,6,0.7082359187269712,0.8264516229813155,6.666666666666667,6.666666666666667,4.166666666666667,0.030871859278540085,0.6109720124539849,,,,
close_drawer,sparse_win,1.0,corners,6,0.9838987924094306,0.9917471819645733,0.5,0.5,6.833333333333333,0.10897268014182117,0.6122385484395029,,,,
close_drawer,sparse_win,1.0,gaussian,6,0.7133986572230432,0.8300748113871125,6.5,6.5,4.166666666666667,0.030871859278540085,0.605034009233373,,,,
close_drawer,sparse_win,1.0,raw,6,1.0,1.0,0.0,0.0,7.166666666666667,0.10766430655083888,0.5566829928839473,,,,
move_near,ALL,0.5,both,100,0.5804750580563591,0.7254380117890642,8.78,8.78,5.26,0.03839989452685521,0.43217585920341106,,,,
move_near,ALL,0.5,corners,100,0.6319490638090803,0.763580623528327,7.04,7.04,10.61,0.17768675927702215,0.29795122983779426,,,,
move_near,ALL,0.5,gaussian,100,0.5821010743165216,0.7265808689319215,8.74,8.74,5.31,0.03969608256728878,0.43244488855428187,,,,
move_near,ALL,0.5,raw,100,0.6319490638090803,0.763580623528327,7.04,7.04,10.61,0.17768675927702215,0.29795122983779426,,,,
move_near,ALL,0.75,both,100,0.6585796974669814,0.7868924170086232,6.78,6.78,4.88,0.037561458711060175,0.43149478426021654,,,,
move_near,ALL,0.75,corners,100,0.7753678806827091,0.8690576392211707,4.03,4.03,10.24,0.18417374903753422,0.3206318900581121,,,,
move_near,ALL,0.75,gaussian,100,0.6614183471087659,0.7888608380612548,6.68,6.68,4.98,0.03952987976369175,0.43149478426021654,,,,
move_near,ALL,0.75,raw,100,0.7753678806827091,0.8690576392211707,4.03,4.03,10.24,0.18417374903753422,0.3206318900581121,,,,
move_near,ALL,0.9,both,100,0.6956490046755465,0.8174591965164284,6.32,6.32,4.67,0.03408391720194019,0.4301876013441139,,,,
move_near,ALL,0.9,corners,100,0.908245065667439,0.950539584396261,1.65,1.65,9.29,0.14755352685557982,0.33839548271707715,,,,
move_near,ALL,0.9,gaussian,100,0.6956490046755465,0.8174591965164284,6.32,6.32,4.65,0.03323128562299282,0.4301876013441139,,,,
move_near,ALL,0.9,raw,100,0.908245065667439,0.950539584396261,1.65,1.65,9.29,0.14755352685557982,0.33839548271707715,,,,
move_near,ALL,1.0,both,100,0.688433158472522,0.8133406152225227,6.5,6.5,4.29,0.02859400879009637,0.45900008200646086,,,,
move_near,ALL,1.0,corners,100,1.0,1.0,0.0,0.0,8.75,0.13853291394213582,0.35665215509033993,,,,
move_near,ALL,1.0,gaussian,100,0.6881473193116827,0.8131846698034192,6.52,6.52,4.29,0.028141377211148996,0.4593704523768312,,,,
move_near,ALL,1.0,raw,100,1.0,1.0,0.0,0.0,8.75,0.13853291394213582,0.35665215509033993,,,,
move_near,both_fail,0.5,both,25,0.5608953631742238,0.7094892574649941,9.56,9.56,5.72,0.04587740984773231,0.40110219796195423,,,,
move_near,both_fail,0.5,corners,25,0.6503585514996436,0.7818212105733587,7.12,7.12,11.04,0.16055398303760487,0.2977169294976861,,,,
