task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,sparse_win,0.9,gaussian,12,0.6001026810669835,0.7478583590674642,6.25,6.25,3.5833333333333335,0.028693619267295523,0.7063656022063262,0.8585653021948518,0.1297449656662445,0.25,1.0
ALL,sparse_win,0.9,raw,12,0.8735620948079235,0.9303729014164568,1.5,1.5,6.333333333333333,0.12180897277221675,0.5508072099083464,0.8823101957161493,0.17360642403916327,0.16666666666666666,1.0
ALL,sparse_win,1.0,both,12,0.5939896323753172,0.7414790732037152,6.166666666666667,6.166666666666667,3.3333333333333335,0.026709492283168535,0.7039310729356387,0.893911643911644,0.13534279052499942,0.2222222222222222,1.0
ALL,sparse_win,1.0,corners,12,0.9844281245750035,0.9918981481481483,0.25,0.25,6.25,0.10698971716906286,0.5400152032123849,0.8668652938990337,0.1845792849945568,0.1388888888888889,1.0
ALL,sparse_win,1.0,gaussian,12,0.5958675666476178,0.7429671684418104,6.083333333333333,6.083333333333333,3.4166666666666665,0.026709492283168535,0.7039310729356387,0.8911338661338662,0.1334726770797537,0.2222222222222222,1.0
ALL,sparse_win,1.0,raw,12,1.0,1.0,0.0,0.0,6.416666666666667,0.11046193939128508,0.5385271079742896,0.8707412628912817,0.18203168006052392,0.1388888888888889,1.0
move_near,ALL,0.5,both,30,0.6219175812050945,0.7635062798256628,8.966666666666667,8.966666666666667,4.366666666666666,0.03384325229916838,0.6988982731074906,0.9247592703703972,0.018281406509791445,0.01758099781355595,1.0
move_near,ALL,0.5,corners,30,0.7613197875224977,0.860040133336502,4.9,4.9,9.4,0.12966754846811274,0.47921171927115597,0.9390225531938488,0.022554241017244455,0.03427747962631684,1.0
move_near,ALL,0.5,gaussian,30,0.6234297170834275,0.7646268071326308,8.9,8.9,4.333333333333333,0.030388866236086668,0.697203721412939,0.928998140961382,0.018235112122661212,0.01758099781355595,1.0
move_near,ALL,0.5,raw,30,0.7613197875224977,0.860040133336502,4.9,4.9,9.333333333333334,0.12766774646831075,0.4783108183702551,0.9389379024707408,0.022495452048124462,0.03427747962631684,1.0
move_near,ALL,0.75,both,30,0.6509986057726863,0.7866523109707255,8.166666666666666,8.166666666666666,4.533333333333333,0.039832204719788065,0.7099375197535027,0.9072589012932906,0.02437893926370832,0.019076724309282447,1.0
move_near,ALL,0.75,corners,30,0.8471146904476381,0.9152129839036639,2.9,2.9,8.833333333333334,0.10862412634708977,0.4852933325968404,0.9063609113674194,0.030782579022257252,0.03855098389982111,1.0
move_near,ALL,0.75,gaussian,30,0.652952520279779,0.7878081760396343,8.066666666666666,8.066666666666666,4.6,0.04000665358988912,0.7065285910092755,0.9049899572315403,0.0243170195682489,0.019076724309282447,1.0
move_near,ALL,0.75,raw,30,0.8448395260482459,0.9139457826364626,2.966666666666667,2.966666666666667,8.733333333333333,0.10582262979559326,0.48585830434825283,0.903372655013104,0.03070206912499024,0.03855098389982111,1.0
move_near,ALL,0.9,both,30,0.6630770347338719,0.7954815646930028,7.833333333333333,7.833333333333333,4.366666666666666,0.03287323611752821,0.7288306421252556,0.9054990438835933,0.02904616349756983,0.03189723712979527,1.0
move_near,ALL,0.9,corners,30,0.9239561547293621,0.9593886824865044,1.4,1.4,8.466666666666667,0.11084370500587142,0.49389652761921593,0.909614281801996,0.03710356122793715,0.03229477241105148,1.0
move_near,ALL,0.9,gaussian,30,0.6639153410708994,0.7960465364444153,7.8,7.8,4.433333333333334,0.03472508796938006,0.7226159528597189,0.9050041819060873,0.028972181192816287,0.03189723712979527,1.0
move_near,ALL,0.9,raw,30,0.9250672658404733,0.9599536542379169,1.3666666666666667,1.3666666666666667,8.5,0.1116373557995222,0.49389652761921593,0.9063799804036798,0.03700620668532068,0.03229477241105148,1.0
move_near,ALL,1.0,both,30,0.6665612152095406,0.7984860378798379,7.766666666666667,7.766666666666667,4.2,0.031700246831122415,0.7348614887902347,0.9022569719599485,0.032745825115047776,0.04044424567680382,1.0
move_near,ALL,1.0,corners,30,0.994671834625323,0.9972524885660479,0.1,0.1,8.6,0.11069735644198872,0.485321246651354,0.890067476382231,0.04212664510470208,0.036170741403299546,1.0
move_near,ALL,1.0,gaussian,30,0.6673755699369387,0.7990510096312502,7.733333333333333,7.733333333333333,4.266666666666667,0.03535390048477607,0.7348614887902347,0.9018942544265448,0.03266226772418287,0.04044424567680382,1.0
move_near,ALL,1.0,raw,30,1.0,1.0,0.0,0.0,8.633333333333333,0.11231492437311599,0.4844973295138776,0.8930393883387826,0.04201585919914939,0.036170741403299546,1.0
move_near,both_fail,0.5,both,12,0.6137746276670694,0.755991752503434,8.083333333333334,8.083333333333334,4.25,0.03931992669651377,0.6896242634890952,0.9115238231543037,0.020072384433225697,0.016666666666666666,1.0
move_near,both_fail,0.5,corners,12,0.7630205171545806,0.8591001790552428,4.416666666666667,4.416666666666667,8.75,0.14075092720503143,0.4738044952649663,0.9411202380929486,0.025822072517341935,0.016666666666666666,1.0
move_near,both_fail,0.5,gaussian,12,0.6155764294688711,0.7573806413923229,8.0,8.0,4.25,0.03931992669651377,0.6896242634890952,0.9140839870047901,0.019988005574520254,0.016666666666666666,1.0
move_near,both_fail,0.5,raw,12,0.7630205171545806,0.8591001790552428,4.416666666666667,4.416666666666667,8.75,0.14075092720503143,0.4738044952649663,0.9411202380929486,0.02571098656352571,0.016666666666666666,1.0
move_near,both_fail,0.75,both,12,0.6453598739753051,0.7824934675300531,7.333333333333333,7.333333333333333,4.333333333333333,0.05314399251986909,0.7034575356987607,0.8791379540445684,0.025953844059908235,0.008333333333333333,1.0
move_near,both_fail,0.75,corners,12,0.8478339208994888,0.9156191268552399,2.6666666666666665,2.6666666666666665,8.416666666666666,0.11513290199161608,0.4666824394533944,0.8813193732327962,0.0344682885843663,0.016666666666666666,1.0
move_near,both_fail,0.75,gaussian,12,0.6433126252419482,0.7802447902813757,7.333333333333333,7.333333333333333,4.416666666666667,0.05552494490082147,0.7010765833178083,0.8857340821924207,0.025845138023038214,0.008333333333333333,1.0
