split,metric,layer,rank,value
validation,top_minus_random,9,7,0.16985026801543096
validation,top_minus_random,15,8,0.16833115546877803
validation,top_minus_random,7,9,0.165532405083934
validation,top_minus_random,4,10,0.16491066267236637
validation,top_minus_random,10,11,0.1614351005844397
validation,top_minus_random,12,12,0.1611731081751135
validation,top_minus_random,13,13,0.15085029232843405
validation,top_minus_random,3,14,0.1491358206554948
validation,top_minus_random,17,15,0.14099080321754487
validation,top_minus_random,19,16,0.14008388340096747
validation,top_minus_random,2,17,0.1387086394781749
validation,top_minus_random,5,18,0.13868378670223727
validation,top_minus_random,18,19,0.135268152674425
validation,top_minus_random,25,20,0.13443599758115046
validation,top_minus_random,30,21,0.12947944957163413
validation,top_minus_random,31,22,0.129026444013058
validation,top_minus_random,0,23,0.12394754719195547
validation,top_minus_random,23,24,0.11934199723994983
validation,top_minus_random,26,25,0.11920237813287113
validation,top_minus_random,29,26,0.11899119849322945
validation,top_minus_random,20,27,0.11580028338569663
validation,top_minus_random,27,28,0.11380266936496186
validation,top_minus_random,21,29,0.11191642807984661
validation,top_minus_random,22,30,0.10844478056992812
validation,top_minus_random,28,31,0.10450548177190136
validation,top_minus_random,24,32,0.09074272143938358
validation,top_minus_bottom,6,1,0.2727017102865138
validation,top_minus_bottom,1,2,0.269752332456159
validation,top_minus_bottom,5,3,0.2677597470171788
validation,top_minus_bottom,8,4,0.25701152212824474
validation,top_minus_bottom,11,5,0.252761942502935
validation,top_minus_bottom,9,6,0.2524711176173241
validation,top_minus_bottom,4,7,0.25184966313993706
validation,top_minus_bottom,19,8,0.25151828107496477
validation,top_minus_bottom,30,9,0.2466620094820277
validation,top_minus_bottom,7,10,0.24621175042055113
validation,top_minus_bottom,15,11,0.23893829999380972
validation,top_minus_bottom,14,12,0.238224537239139
validation,top_minus_bottom,2,13,0.2381320092786181
validation,top_minus_bottom,31,14,0.23487922205718523
validation,top_minus_bottom,3,15,0.23345898330592812
validation,top_minus_bottom,18,16,0.2333503658491518
validation,top_minus_bottom,10,17,0.2276275286105674
validation,top_minus_bottom,17,18,0.22565611436919192
validation,top_minus_bottom,12,19,0.22288814956569963
validation,top_minus_bottom,25,20,0.221722527414689
validation,top_minus_bottom,16,21,0.22128778416930167
validation,top_minus_bottom,23,22,0.21404217033707784
validation,top_minus_bottom,13,23,0.20825476408203905
validation,top_minus_bottom,22,24,0.20545632083949447
validation,top_minus_bottom,20,25,0.20539973557138635
validation,top_minus_bottom,29,26,0.2013588292898519
validation,top_minus_bottom,0,27,0.19604196897950293
validation,top_minus_bottom,24,28,0.1935620455297536
validation,top_minus_bottom,26,29,0.18218433705569875
validation,top_minus_bottom,21,30,0.17205124551353118
validation,top_minus_bottom,27,31,0.1583085900786001
validation,top_minus_bottom,28,32,0.10680979059853793
validation,top_minus_wrong_prompt,7,1,0.044926222270177466
validation,top_minus_wrong_prompt,11,2,0.04408486995021987
validation,top_minus_wrong_prompt,8,3,0.04261370008721714
validation,top_minus_wrong_prompt,9,4,0.03692589067112614
validation,top_minus_wrong_prompt,6,5,0.034070265127628514
validation,top_minus_wrong_prompt,14,6,0.03391135295396802
validation,top_minus_wrong_prompt,20,7,0.026768953099961145
validation,top_minus_wrong_prompt,16,8,0.024005636186043587
validation,top_minus_wrong_prompt,4,9,0.022915634107427356
validation,top_minus_wrong_prompt,31,10,0.01768225020038599
validation,top_minus_wrong_prompt,17,11,0.01626301482647865
validation,top_minus_wrong_prompt,19,12,0.016041566895141152
validation,top_minus_wrong_prompt,1,13,0.016000609007096912
validation,top_minus_wrong_prompt,25,14,0.0131547801222962
validation,top_minus_wrong_prompt,27,15,0.009657659140882336
validation,top_minus_wrong_prompt,2,16,0.008895286143201932
validation,top_minus_wrong_prompt,10,17,0.0070679397420307126
validation,top_minus_wrong_prompt,29,18,0.005876382188531039
validation,top_minus_wrong_prompt,15,19,0.0055698671902822735
validation,top_minus_wrong_prompt,30,20,0.001745701794316028
validation,top_minus_wrong_prompt,0,21,0.0007558182506746891
validation,top_minus_wrong_prompt,13,22,-0.0006577312653047417
validation,top_minus_wrong_prompt,22,23,-0.0016659082422997313
validation,top_minus_wrong_prompt,26,24,-0.0031223535900004686
validation,top_minus_wrong_prompt,24,25,-0.004853516013580091
validation,top_minus_wrong_prompt,23,26,-0.005987044876160238
validation,top_minus_wrong_prompt,18,27,-0.0075717638312484846
validation,top_minus_wrong_prompt,3,28,-0.007964800447308748
validation,top_minus_wrong_prompt,21,29,-0.011946112651993194
validation,top_minus_wrong_prompt,5,30,-0.012319959630047011
validation,top_minus_wrong_prompt,12,31,-0.013513911504906564
validation,top_minus_wrong_prompt,28,32,-0.02371382156147859
validation,causal_margin,6,1,-0.012007274232188463
validation,causal_margin,7,2,-0.02197229498385172
validation,causal_margin,11,3,-0.02441962425119467
validation,causal_margin,1,4,-0.027972092790945608
validation,causal_margin,8,5,-0.027995022836971372
validation,causal_margin,9,6,-0.03324715899188762
validation,causal_margin,16,7,-0.035907026012679075
validation,causal_margin,31,8,-0.039162138973719236
validation,causal_margin,14,9,-0.040664825525522
validation,causal_margin,15,10,-0.04178473051484575
validation,causal_margin,4,11,-0.0425961251154814
validation,causal_margin,2,12,-0.04515272590220419
validation,causal_margin,19,13,-0.050512113290727266
validation,causal_margin,10,14,-0.05341026935019859
validation,causal_margin,25,15,-0.053999414695436454
validation,causal_margin,17,16,-0.05770083320962931
validation,causal_margin,3,17,-0.06167872689230297
validation,causal_margin,13,18,-0.06202089208407789
validation,causal_margin,23,19,-0.062062523401864036
validation,causal_margin,30,20,-0.062150716471151654
validation,causal_margin,20,21,-0.06353256838437023
validation,causal_margin,5,22,-0.06420163158427564
validation,causal_margin,0,23,-0.06609226896545038
validation,causal_margin,21,24,-0.06618186608025463
validation,causal_margin,29,25,-0.06810380514730809
validation,causal_margin,18,26,-0.06833113100616907
validation,causal_margin,12,27,-0.06910546631546938
validation,causal_margin,27,28,-0.07382754009590087
validation,causal_margin,26,29,-0.0751875389724793
validation,causal_margin,22,30,-0.0834046951898943
validation,causal_margin,24,31,-0.08497072394768997
validation,causal_margin,28,32,-0.0978000095480293
