task,seed,success,steps,mean_m_t,std_m_t,cv_m_t,min_m_t,max_m_t,range_m_t,mean_abs_step_change,early_mean_m_t,middle_mean_m_t,late_mean_m_t
close_drawer,144,1,113,21.98230088495575,10.05382179865079,0.4573598483283169,3,49,46,8.044642857142858,19.36842105263158,23.86842105263158,22.72972972972973
close_drawer,145,1,113,31.72566371681416,15.458335545388328,0.48725018594947866,4,54,50,13.267857142857142,27.07894736842105,32.89473684210526,35.2972972972973
close_drawer,146,1,113,33.89380530973451,18.378692372071207,0.542243404189046,5,63,58,15.517857142857142,25.18421052631579,36.81578947368421,39.83783783783784
close_drawer,147,0,113,22.495575221238937,8.004560529528804,0.3558282218083222,4,37,33,6.008928571428571,22.710526315789473,18.736842105263158,26.135135135135137
close_drawer,148,1,113,34.72566371681416,13.240623857458576,0.3812921753039804,5,70,65,11.973214285714286,29.42105263157895,34.86842105263158,40.027027027027025
close_drawer,149,1,113,33.283185840707965,13.114518757461118,0.3940283487352051,4,49,45,10.803571428571429,29.68421052631579,35.68421052631579,34.513513513513516
close_drawer,150,1,113,40.575221238938056,8.321850234336997,0.20509685419412882,15,62,47,5.651785714285714,35.6578947368421,44.526315789473685,41.567567567567565
close_drawer,151,1,113,30.309734513274336,14.441263179874596,0.4764562742557166,4,52,48,12.544642857142858,28.81578947368421,29.473684210526315,32.7027027027027
close_drawer,152,1,113,36.84070796460177,11.318843534911712,0.3072374055837193,5,53,48,8.303571428571429,26.57894736842105,43.86842105263158,40.16216216216216
close_drawer,153,1,113,46.991150442477874,7.8407778817873925,0.16685647846364884,16,58,42,3.3839285714285716,40.0,50.63157894736842,50.432432432432435
close_drawer,154,1,113,26.309734513274336,15.857819402827825,0.6027358198854841,4,56,52,11.883928571428571,29.763157894736842,27.894736842105264,21.135135135135137
close_drawer,155,1,113,38.469026548672566,12.416853232004309,0.3227753428149268,4,56,52,6.553571428571429,25.789473684210527,43.81578947368421,46.0
close_drawer,156,1,113,36.13274336283186,9.60964156761485,0.2659538322656081,14,57,43,9.696428571428571,34.8421052631579,35.89473684210526,37.7027027027027
close_drawer,157,1,113,41.43362831858407,13.36014155653021,0.322446816721041,5,59,54,10.946428571428571,38.21052631578947,46.921052631578945,39.108108108108105
close_drawer,158,0,113,18.72566371681416,15.18863559073535,0.8111133373124265,4,53,49,12.285714285714286,22.289473684210527,24.13157894736842,9.513513513513514
close_drawer,159,1,113,42.65486725663717,8.11070516396173,0.19014723724640573,14,56,42,6.357142857142857,38.78947368421053,45.078947368421055,44.13513513513514
close_drawer,160,1,113,26.194690265486727,11.52055370402948,0.4398049218092335,3,54,51,9.446428571428571,21.789473684210527,25.44736842105263,31.486486486486488
close_drawer,161,1,113,30.0,10.543630380135694,0.35145434600452313,5,55,50,6.241071428571429,25.18421052631579,35.1578947368421,29.64864864864865
close_drawer,162,1,113,24.300884955752213,19.80296078504478,0.8149069805936127,5,55,50,15.8125,22.763157894736842,26.0,24.135135135135137
close_drawer,163,1,113,29.486725663716815,15.34564308998139,0.5204254709387446,5,54,49,11.473214285714286,18.026315789473685,39.05263157894737,31.43243243243243
close_drawer,164,1,113,36.13274336283186,9.60964156761485,0.2659538322656081,14,57,43,9.696428571428571,34.8421052631579,35.89473684210526,37.7027027027027
close_drawer,165,0,113,31.345132743362832,10.32204438101378,0.329302940444539,10,57,47,8.553571428571429,27.05263157894737,31.026315789473685,36.08108108108108
close_drawer,166,0,113,32.902654867256636,15.214667237451172,0.4624145771468484,4,71,67,12.125,31.210526315789473,32.526315789473685,35.027027027027025
close_drawer,167,1,113,33.283185840707965,13.114518757461118,0.3940283487352051,4,49,45,10.803571428571429,29.68421052631579,35.68421052631579,34.513513513513516
close_drawer,168,1,113,20.743362831858406,15.191275302901005,0.7323439032541867,4,53,49,13.589285714285714,14.710526315789474,24.289473684210527,23.2972972972973
close_drawer,169,1,113,35.3716814159292,12.769013025015578,0.36099536448005015,3,60,57,11.705357142857142,30.63157894736842,35.421052631578945,40.189189189189186
close_drawer,170,1,113,27.01769911504425,10.769493378348045,0.39860882795719915,4,72,68,6.223214285714286,23.42105263157895,24.05263157894737,33.75675675675676
close_drawer,171,1,113,48.716814159292035,10.250377956812063,0.21040739493547014,20,68,48,4.857142857142857,42.10526315789474,51.76315789473684,52.37837837837838
close_drawer,172,1,113,37.95575221238938,8.60066819850209,0.22659722695983592,4,62,58,6.125,36.078947368421055,38.26315789473684,39.567567567567565
close_drawer,173,1,113,46.94690265486726,11.422567871461064,0.24330823175779456,5,66,61,7.714285714285714,38.973684210526315,49.21052631578947,52.810810810810814
close_drawer,174,1,113,35.3716814159292,12.769013025015578,0.36099536448005015,3,60,57,11.705357142857142,30.63157894736842,35.421052631578945,40.189189189189186
close_drawer,175,1,113,40.92920353982301,10.01301525949552,0.2446423187725392,22,53,31,4.142857142857143,31.289473684210527,46.31578947368421,45.2972972972973
close_drawer,176,1,113,30.309734513274336,14.441263179874596,0.4764562742557166,4,52,48,12.544642857142858,28.81578947368421,29.473684210526315,32.7027027027027
close_drawer,177,0,113,16.41592920353982,10.848698518016384,0.660864114574583,5,48,43,8.678571428571429,18.44736842105263,14.842105263157896,15.945945945945946
close_drawer,178,1,113,30.0,10.543630380135694,0.35145434600452313,5,55,50,6.241071428571429,25.18421052631579,35.1578947368421,29.64864864864865
close_drawer,179,1,113,40.19469026548673,13.588033782420696,0.3380554419668733,5,64,59,6.553571428571429,29.157894736842106,44.026315789473685,47.5945945945946
close_drawer,180,0,113,29.47787610619469,12.144482228008744,0.4119863379660727,4,72,68,9.1875,30.36842105263158,28.289473684210527,29.783783783783782
close_drawer,181,1,113,37.150442477876105,16.847688972022798,0.45349901234839834,4,65,61,13.794642857142858,32.28947368421053,39.63157894736842,39.5945945945946
close_drawer,182,0,113,16.150442477876105,10.568128105895594,0.6543553292965492,4,47,43,8.758928571428571,20.44736842105263,16.394736842105264,11.486486486486486
close_drawer,183,1,113,40.584070796460175,19.799761178374137,0.4878702601736323,5,65,60,13.910714285714286,26.263157894736842,45.973684210526315,49.75675675675676
close_drawer,184,1,113,28.17699115044248,11.88084655403939,0.4216506471753929,4,67,63,9.267857142857142,25.736842105263158,22.44736842105263,36.567567567567565
close_drawer,185,1,113,39.796460176991154,13.618804862275276,0.3422114630725164,7,68,61,10.982142857142858,29.157894736842106,47.68421052631579,42.62162162162162
close_drawer,186,1,113,32.78761061946903,20.50920420500803,0.6255168893835107,5,65,60,19.589285714285715,31.973684210526315,41.71052631578947,24.45945945945946
close_drawer,187,1,113,37.95575221238938,8.60066819850209,0.22659722695983592,4,62,58,6.125,36.078947368421055,38.26315789473684,39.567567567567565
close_drawer,188,0,113,21.654867256637168,14.36858046671267,0.6635266010374057,6,62,56,13.017857142857142,20.236842105263158,23.05263157894737,21.675675675675677
close_drawer,189,1,113,37.2212389380531,8.764100661901091,0.23545967065972975,14,51,37,6.133928571428571,33.0,39.5,39.21621621621622
close_drawer,190,1,113,18.513274336283185,12.331781405845375,0.666104827371189,3,58,55,9.080357142857142,20.842105263157894,20.973684210526315,13.594594594594595
