task,seed,step,phase,matched_count,l11_entropy,l11_normalized_entropy,l11_effective_support,matched_over_effective_support,top16_mass,top32_mass,standard_mask_components
move_near,73,40,middle,69,4.408363153443617,0.7949904574888425,50.67690070622525,1.3615670855641713,0.45994762554302393,0.6499071215988457,6
move_near,73,71,late,46,4.236679345608991,0.7640295352183487,40.847542184310086,1.1261387476495224,0.5054287850928473,0.7202309136293799,3
move_near,89,8,early,38,4.473945450039018,0.8068173642473792,62.62785364515896,0.6067587788542605,0.4038743758804409,0.6207061872370799,4
move_near,89,40,middle,31,4.124018492363924,0.7437126284334766,37.707196054944035,0.8221242426731804,0.5587408754099782,0.7557253325720779,2
move_near,89,71,late,46,4.041627977893212,0.7288545801030782,32.538662084325715,1.4137028707814874,0.6118227631611386,0.7686837455883081,3
move_near,95,8,early,39,4.40825802609854,0.7949714991514168,50.87697213235374,0.7665550516360048,0.4774181246627349,0.6748398080338691,4
move_near,95,40,middle,69,4.408363153443617,0.7949904574888425,50.67690070622525,1.3615670855641713,0.45994762554302393,0.6499071215988457,6
move_near,95,71,late,46,4.236679345608991,0.7640295352183487,40.847542184310086,1.1261387476495224,0.5054287850928473,0.7202309136293799,3
move_near,98,8,early,59,4.276495058361279,0.771209776635497,41.39332055173916,1.4253507380799169,0.498164587832248,0.6958464434258044,2
move_near,98,40,middle,91,4.040163424008779,0.728590467024805,34.370266104023685,2.6476373422475987,0.5555454644457233,0.7894957792216777,2
move_near,98,71,late,19,3.9734114856664355,0.7165526307227769,27.80066839233519,0.6834368056143,0.5753717485555936,0.7913271575590026,1
move_near,99,8,early,42,4.315702073802601,0.7782802474786535,48.84445580482582,0.8598724114733696,0.4805212542817743,0.6929128397044059,3
move_near,99,40,middle,9,3.964406907469665,0.7149287731840547,30.477264431792534,0.295302093799849,0.6045901617803782,0.7943864413367335,1
move_near,99,71,late,27,3.8856279387623562,0.700722019749007,24.29121478931341,1.111512957840144,0.6461837778501199,0.7961430419672061,3
open_drawer,0,11,early,35,4.458006466108059,0.8039429776131287,51.76241072871299,0.6761663436317745,0.46249555160729966,0.6449800137026666,1
open_drawer,0,56,middle,40,3.6111752452111743,0.6512280772558935,14.044927262478797,2.848003357543938,0.6728787254073385,0.8565033178877652,2
open_drawer,0,101,late,23,4.221430657113849,0.7612796343093486,36.41718897751862,0.6315698889938639,0.5318955572240358,0.6831705507014489,1
open_drawer,1,11,early,40,4.475894312218661,0.8071688159726225,53.64710416526027,0.7456134049058777,0.41332465631547355,0.6260381293857455,1
open_drawer,1,56,middle,37,3.994583956871891,0.7203708081242113,29.06466654979895,1.2730233782866482,0.6161087015355596,0.8013289372891064,1
open_drawer,1,101,late,31,3.9691397160447597,0.7157822731166504,31.815938675043956,0.9743544050867822,0.6071417615733852,0.8043063992176659,2
open_drawer,2,11,early,37,4.542686318164044,0.8192138779411763,60.95828464525473,0.6069724601884815,0.418964091960096,0.6365158519818271,1
open_drawer,2,56,middle,42,3.9317522235867655,0.7090399293715977,27.042409006464695,1.5531160700202256,0.6030490607048322,0.8043296332901215,3
open_drawer,2,101,late,20,4.152797127735541,0.7489024777502495,38.59935173741412,0.5181434169168733,0.5269743531653559,0.7789272221980428,1
open_drawer,11,11,early,48,4.135900203514291,0.7458553391527153,38.57516710775078,1.2443238383368018,0.5051239236153282,0.7263458401552295,1
open_drawer,11,56,middle,52,3.7045527268609977,0.6680674809692561,19.31185903015515,2.6926460015476943,0.6553113991244215,0.8552930347713052,2
open_drawer,11,101,late,35,4.029937693663854,0.7267463907175435,31.728295830437453,1.1031162904886922,0.5525334469253436,0.782404075398544,2
open_drawer,32,11,early,31,4.4550918544595435,0.8034173656416999,61.233066809447536,0.506262410414124,0.3939709064736937,0.6596419287349721,1
open_drawer,32,56,middle,25,4.652072493591904,0.8389402395451242,64.89968674739258,0.3852098716178226,0.3546130617800164,0.5456427104258024,2
open_drawer,32,101,late,30,4.678502394639367,0.8437065254416695,70.62006349436724,0.4248084540789579,0.3472461901275089,0.5428997610237258,1
open_drawer,56,11,early,45,4.176594910255037,0.7531940956033785,37.63231049550958,1.195780950132455,0.5294800133766406,0.72106025962818,1
open_drawer,56,56,middle,49,3.9752683179149195,0.7168874860573582,26.418194113359622,1.8547823439309505,0.5800990976619753,0.7862782988656364,1
open_drawer,56,101,late,17,3.8007965284955607,0.6854237878860666,17.655358493582753,0.9628804765521494,0.6032101519865619,0.7848679935839942,1
open_drawer,93,11,early,43,4.203585251394091,0.7580614495175302,39.9650790070878,1.0759393217357072,0.5240087909677907,0.7275100999536073,1
open_drawer,93,56,middle,51,3.945874170428537,0.7115866372061379,21.983795741946356,2.3198905502332816,0.596230265785263,0.7619550967448965,2
open_drawer,93,101,late,20,4.111152992221132,0.7413925042766563,33.61916171758332,0.5948988308515648,0.5432660772659204,0.7438774165816047,1
open_drawer,95,11,early,47,3.882881633278306,0.7002267595861814,26.385563387151063,1.7812771063621677,0.6027939290524793,0.816817231924128,1
open_drawer,95,56,middle,47,3.539714387729128,0.6383410491675158,17.48174022555223,2.6885195291543305,0.7674247760954072,0.8688150467172739,1
open_drawer,95,101,late,48,3.6599448776617445,0.6600230406161953,17.8841963070064,2.6839338584756693,0.7124766218462675,0.8333619619582655,1
open_drawer,97,11,early,52,3.9209732836010924,0.7070960889636764,25.163403483199616,2.066493113092507,0.5739810310419243,0.790570543210878,1
open_drawer,97,56,middle,26,3.5816124211424896,0.6458968097960729,19.94527163257146,1.3035671049744402,0.7411891187107511,0.8913105763902894,2
open_drawer,97,101,late,20,3.4217974934796915,0.6170762843461796,17.5119256633028,1.1420788544066913,0.7914389929041015,0.9144050223568932,2
open_drawer,99,11,early,42,4.239959724692462,0.7646211085478438,44.40952192448051,0.945743123995391,0.485993230626984,0.6947328917673267,1
open_drawer,99,56,middle,51,3.513800933198967,0.6336678976246451,12.269451920994237,4.156664888407443,0.7164910193791784,0.8586292073633068,1
open_drawer,99,101,late,18,3.6175258487675683,0.6523733252880761,15.30272667093902,1.1762609623148597,0.6804468345336236,0.8425807175775482,3
pick_coke_can,0,8,early,19,4.010893328567644,0.7233119893323959,31.16430707447097,0.6096718259962318,0.604057893560541,0.7757244071593633,3
pick_coke_can,0,40,middle,20,3.9585004332552427,0.713863618051769,25.30536015964206,0.7903463880311316,0.6030894758816114,0.7641011086854109,3
pick_coke_can,0,71,late,19,3.9707406407029016,0.7160709788747927,28.340870916805855,0.6704098845717966,0.6058867629925351,0.7753256683613138,3
pick_coke_can,1,8,early,27,3.470537019707911,0.6258658184442708,15.776922621187271,1.7113603614776525,0.7707402231962523,0.8768343457344956,1
pick_coke_can,1,40,middle,30,3.769146768938262,0.6797161689912363,15.585336108838549,1.924886302771924,0.6274019745302546,0.7670401275428866,7
pick_coke_can,1,71,late,23,3.8871582254308734,0.700997986872483,20.748327640147444,1.1085230770838432,0.6183875273361684,0.7661091959330131,1
pick_coke_can,3,8,early,37,3.891290138348175,0.70174312315688,25.651742390053656,1.4423971454799336,0.6428978276540961,0.7938702043505086,6
pick_coke_can,3,40,middle,32,3.6060433908669123,0.6503026146542645,14.826792439981935,2.1582550730061336,0.7045394965221924,0.8161439629318086,11
pick_coke_can,3,71,late,49,3.403048019859635,0.6136950627698128,9.823868844823897,4.98785160653052,0.7118633489198879,0.8251814502587365,13
pick_coke_can,5,8,early,13,3.8001351574851103,0.6853045183014461,21.896256027199954,0.5937088050053465,0.6566296623935939,0.8035875375355694,2
pick_coke_can,5,40,middle,9,3.6169310870047156,0.6522660678073539,16.56928579762392,0.5431736835205428,0.6857653650482423,0.8426451544167655,3
pick_coke_can,5,71,late,7,3.40448217418869,0.6139536936871124,11.228432503457507,0.6234173824213246,0.7197396801351102,0.8487107973691584,1
pick_coke_can,30,8,early,18,4.177898504682187,0.7534291817553008,36.94315989551576,0.48723498614921884,0.5440575231431458,0.7289467391624245,3
