task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,23,early,both_success,13,23,1,0.8846153846153846,0.9854440434619224,0.014118062926273711,1,1.197540283203125,-0.7593231201171875,0,0.0,0.014118062926273711,0.014118062926273711,0
close_drawer,23,middle,both_success,56,24,1,0.92,0.9914069254126691,0.004667983202373244,1,-2.677093505859375,1.3129425048828125,0,0.0,0.004667983202373244,0.004667983202373244,0
close_drawer,23,late,both_success,99,28,1,0.9310344827586207,0.9934996438170585,0.0,0,0.5689849853515625,-0.6821441650390625,-1,-0.03571428571428571,0.0,0.0,0
close_drawer,24,early,both_success,13,29,0,0.896551724137931,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,24,middle,both_success,56,50,0,0.68,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,24,late,both_success,99,47,0,0.723404255319149,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,25,early,both_success,13,28,0,0.8571428571428571,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,25,middle,both_success,56,22,0,0.5526315789473685,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,25,late,both_success,99,52,1,0.8909090909090909,0.9821616120738,0.0,0,1.5565948486328125,1.5547943115234375,1,0.019230769230769232,0.0,0.0,0
close_drawer,26,early,both_success,13,27,1,1.0,0.9912402962184567,0.0,0,-0.9677581787109375,0.3238983154296875,0,0.0,0.0,0.0,0
close_drawer,26,middle,both_success,56,53,1,0.5740740740740741,0.9845029705904539,0.0,0,0.790557861328125,0.849609375,0,0.0,0.0,0.0,0
close_drawer,26,late,both_success,99,51,1,0.5740740740740741,0.9807946297881128,0.0,0,0.6849212646484375,-0.6434173583984375,-1,0.0,0.0,0.0,0
close_drawer,27,early,harm,13,14,1,0.9333333333333333,0.9905554399685998,0.0,0,2.4236526489257812,1.80914306640625,-1,-0.07142857142857142,0.0,0.0,0
close_drawer,27,middle,harm,56,33,1,0.8055555555555556,0.9767845779997606,0.0,0,-2.052520751953125,2.9582672119140625,0,0.0,0.0,0.0,0
close_drawer,27,late,harm,99,54,0,0.5384615384615384,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,28,early,harm,13,14,0,1.0,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
