layers,selection_score,target_response,target_mask_response,correct_response_fraction,positive_task_count,synonym_mask_jaccard,synonym_score_cosine,mean_components,mean_isolated_ratio,mean_largest_component_ratio,mean_visual_attention_mass,fixed_position_frequency_peak
[18],0.5367187500000001,0.014327551859120527,0.022285118555279846,0.3333333333333333,2,0.8926539975993659,0.9866869648424257,11.45,0.1937182755572929,0.37463295235401634,0.10202201182643572,0.9333333333333333
[19],0.35234375000000007,0.005905978226413329,0.0019414575866188767,0.16666666666666666,2,0.8954300403095665,0.9854606135786107,12.266666666666667,0.22492136783820538,0.3266377367156371,0.10439541929711899,0.7666666666666667
[20],0.46249999999999997,0.009507404252265891,0.007317801672640382,0.6666666666666666,2,0.8940844279599713,0.9781185290155913,12.4,0.21801590752869177,0.32304871835217425,0.1388823823382457,0.7166666666666667
[21],0.7179687500000002,0.04355597604687015,0.01974657660141531,0.5,2,0.9050353447112605,0.9846194576196693,12.983333333333333,0.2267680830217858,0.3020349834271005,0.10456311516463757,0.8
[22],0.43984375,0.009814475352565447,0.008351713996875287,0.5,2,0.8924621015851958,0.9849997869116439,12.8,0.2189402424771316,0.3079946067247437,0.12128984021643797,0.8166666666666667
[23],0.4007812500000001,0.004369355350111921,0.012224577244738535,0.3333333333333333,1,0.9138374072849094,0.9876942661095885,12.983333333333333,0.23571794741569507,0.30202698841723735,0.08269672250996034,0.7333333333333333
[24],0.63046875,0.03058427417029937,0.024767944122782836,0.5,2,0.8923915299342454,0.9810629669196974,13.116666666666667,0.23224130063220605,0.29775398225890826,0.11275121917327245,0.85
[25],0.46562499999999996,0.010210349690169096,-0.0026881720430107525,0.6666666666666666,3,0.9173136422548421,0.9895175838099506,13.75,0.2529371693716903,0.2490640043405712,0.10880533140152693,0.8833333333333333
[26],0.42265625,0.012646490087111792,-0.004629629629629629,0.3333333333333333,2,0.9126227519852093,0.9888812545568472,14.4,0.26528504930615543,0.24715918349068183,0.13378820791840554,0.8666666666666667
[27],0.21171875,-0.0031396327540278435,0.004629629629629629,0.16666666666666666,1,0.9362900804767704,0.9939630705435765,13.516666666666667,0.22092131999451564,0.26003032559650224,0.09027913833657901,0.7666666666666667
[28],0.14921875,-0.00039744656533002853,-0.004629629629629629,0.0,1,0.9305976024756497,0.9922940460321328,14.0,0.24877761133431517,0.24754130846138958,0.11115228620668252,0.8
[29],0.33515625000000004,0.005090087341765563,-0.0026881720430107525,0.16666666666666666,1,0.9375519162298681,0.9933813265247174,13.966666666666667,0.23667757314328156,0.2382899961977699,0.17759279161691666,0.8166666666666667
[30],0.14921875,-0.0029012967521945634,-0.0026881720430107525,0.0,1,0.944654431477857,0.9938444132099987,14.233333333333333,0.2541835335990555,0.2293855869062732,0.15065897007783255,0.95
[31],0.19296875000000002,-0.0012843944132328033,-0.001388888888888889,0.16666666666666666,1,0.9263759547371164,0.9949849941538922,15.083333333333334,0.27783294879921966,0.20112205320768503,0.2452209288875262,0.95
