state_id,task,seed,source_step,phase,split,arm,m,standard_overlap,v1_overlap,num_components,isolated_token_ratio,largest_component_ratio,feature_perturbation_total,selected_mean_relative_perturbation,centered_residual_norm,winner_flip_count
google_robot_move_near__seed001__step071,google_robot_move_near,1,71,late,exploration,prompt_v1,23,0.13043478260869565,1.0,10,0.17391304347826086,0.2608695652173913,105.29277801513672,0.7830338478088379,96.37281036376953,0
google_robot_move_near__seed001__step071,google_robot_move_near,1,71,late,exploration,prompt_single,23,0.30434782608695654,0.6521739130434783,6,0.043478260869565216,0.391304347826087,110.7165298461914,0.859285295009613,117.12223052978516,0
google_robot_move_near__seed001__step071,google_robot_move_near,1,71,late,exploration,prompt_sparse,23,0.30434782608695654,0.6521739130434783,6,0.08695652173913043,0.6521739130434783,112.70932006835938,0.8879803419113159,144.1511688232422,0
google_robot_move_near__seed002__step008,google_robot_move_near,2,8,early,exploration,standard_shr,37,1.0,0.05405405405405406,3,0.0,0.5135135135135135,173.97265625,0.8298919796943665,184.05313110351562,4
google_robot_move_near__seed002__step008,google_robot_move_near,2,8,early,exploration,prompt_v1,37,0.05405405405405406,1.0,19,0.24324324324324326,0.16216216216216217,132.3134002685547,0.8432256579399109,143.0091552734375,4
google_robot_move_near__seed002__step008,google_robot_move_near,2,8,early,exploration,prompt_single,37,0.2702702702702703,0.5945945945945946,12,0.13513513513513514,0.2972972972972973,159.05831909179688,0.921074628829956,216.7505645751953,1
google_robot_move_near__seed002__step008,google_robot_move_near,2,8,early,exploration,prompt_sparse,37,0.21621621621621623,0.7027027027027027,15,0.21621621621621623,0.21621621621621623,144.72085571289062,0.890626847743988,190.87640380859375,3
google_robot_move_near__seed002__step040,google_robot_move_near,2,40,middle,exploration,standard_shr,55,1.0,0.09090909090909091,7,0.05454545454545454,0.5454545454545454,210.95883178710938,0.8042086362838745,65.56690216064453,0
google_robot_move_near__seed002__step040,google_robot_move_near,2,40,middle,exploration,prompt_v1,55,0.09090909090909091,1.0,17,0.16363636363636364,0.2909090909090909,162.59066772460938,0.8372689485549927,122.0166015625,0
google_robot_move_near__seed002__step040,google_robot_move_near,2,40,middle,exploration,prompt_single,55,0.12727272727272726,0.7090909090909091,15,0.18181818181818182,0.5636363636363636,180.85133361816406,0.9174939393997192,169.59072875976562,0
google_robot_move_near__seed002__step040,google_robot_move_near,2,40,middle,exploration,prompt_sparse,55,0.12727272727272726,0.7454545454545455,14,0.10909090909090909,0.41818181818181815,184.2010040283203,0.9312685132026672,166.45230102539062,0
google_robot_move_near__seed002__step071,google_robot_move_near,2,71,late,exploration,standard_shr,25,1.0,0.12,2,0.0,0.72,150.9604034423828,0.8160626292228699,70.75082397460938,0
google_robot_move_near__seed002__step071,google_robot_move_near,2,71,late,exploration,prompt_v1,25,0.12,1.0,11,0.28,0.4,111.46533203125,0.8367469906806946,110.5660171508789,0
google_robot_move_near__seed002__step071,google_robot_move_near,2,71,late,exploration,prompt_single,25,0.04,0.64,8,0.2,0.56,119.40650177001953,0.8992968797683716,163.27005004882812,0
google_robot_move_near__seed002__step071,google_robot_move_near,2,71,late,exploration,prompt_sparse,25,0.04,0.68,8,0.16,0.56,117.13343048095703,0.9218977093696594,155.2171630859375,1
google_robot_move_near__seed013__step008,google_robot_move_near,13,8,early,validation,standard_shr,24,1.0,0.20833333333333334,3,0.0,0.6666666666666666,139.29873657226562,0.9338836669921875,220.81967163085938,1
google_robot_move_near__seed013__step008,google_robot_move_near,13,8,early,validation,prompt_v1,24,0.20833333333333334,1.0,13,0.2916666666666667,0.16666666666666666,102.0766372680664,0.7923223376274109,133.660400390625,2
google_robot_move_near__seed013__step008,google_robot_move_near,13,8,early,validation,prompt_single,24,0.4166666666666667,0.625,10,0.20833333333333334,0.25,106.47200012207031,0.7769338488578796,135.1071319580078,2
google_robot_move_near__seed013__step008,google_robot_move_near,13,8,early,validation,prompt_sparse,24,0.375,0.5416666666666666,10,0.25,0.3333333333333333,102.813232421875,0.808193027973175,110.22949981689453,4
google_robot_move_near__seed013__step040,google_robot_move_near,13,40,middle,validation,standard_shr,48,1.0,0.3125,1,0.0,1.0,167.96580505371094,0.8758301734924316,138.69586181640625,1
google_robot_move_near__seed013__step040,google_robot_move_near,13,40,middle,validation,prompt_v1,48,0.3125,1.0,14,0.1875,0.4375,143.3129119873047,0.8170896172523499,151.82725524902344,1
google_robot_move_near__seed013__step040,google_robot_move_near,13,40,middle,validation,prompt_single,48,0.3541666666666667,0.6666666666666666,10,0.125,0.5833333333333334,151.7691192626953,0.913200855255127,189.3775177001953,2
google_robot_move_near__seed013__step040,google_robot_move_near,13,40,middle,validation,prompt_sparse,48,0.3125,0.7083333333333334,10,0.125,0.5833333333333334,153.97328186035156,0.9221437573432922,186.03688049316406,2
google_robot_move_near__seed013__step071,google_robot_move_near,13,71,late,validation,standard_shr,23,1.0,0.2608695652173913,1,0.0,1.0,141.99618530273438,0.9710670113563538,195.06277465820312,2
google_robot_move_near__seed013__step071,google_robot_move_near,13,71,late,validation,prompt_v1,23,0.2608695652173913,1.0,12,0.2608695652173913,0.17391304347826086,109.49311828613281,0.831371545791626,109.67523956298828,1
google_robot_move_near__seed013__step071,google_robot_move_near,13,71,late,validation,prompt_single,23,0.5652173913043478,0.5652173913043478,5,0.13043478260869565,0.6086956521739131,115.80677795410156,0.8365925550460815,172.34580993652344,2
google_robot_move_near__seed013__step071,google_robot_move_near,13,71,late,validation,prompt_sparse,23,0.6086956521739131,0.6086956521739131,5,0.08695652173913043,0.6521739130434783,119.45930480957031,0.8855875134468079,175.68661499023438,2
google_robot_move_near__seed031__step008,google_robot_move_near,31,8,early,exploration,standard_shr,60,1.0,0.43333333333333335,7,0.05,0.5333333333333333,182.81373596191406,0.965255081653595,232.78369140625,4
google_robot_move_near__seed031__step008,google_robot_move_near,31,8,early,exploration,prompt_v1,60,0.43333333333333335,1.0,12,0.06666666666666667,0.3333333333333333,177.74559020996094,0.8291910886764526,179.3546142578125,1
google_robot_move_near__seed031__step008,google_robot_move_near,31,8,early,exploration,prompt_single,60,0.5833333333333334,0.7333333333333333,8,0.03333333333333333,0.5166666666666667,189.0414276123047,0.8753232359886169,270.0819396972656,1
google_robot_move_near__seed031__step008,google_robot_move_near,31,8,early,exploration,prompt_sparse,60,0.5666666666666667,0.7333333333333333,10,0.08333333333333333,0.4166666666666667,185.01144409179688,0.8706943392753601,220.01202392578125,1
