task,seed,category,phase,control_step,sector,removed_count,progress,delta_vs_locked_full,mean_action_l2,mean_residual_norm,final_success
open_drawer,42,harm,approach,0,r0_c0,1,0.1905490032122583,0.0,0.07416235738330448,192.26579475402832,0
open_drawer,42,harm,approach,0,r0_c1,5,0.17597154464110704,-0.014577458571151253,0.08915532415492038,223.6975860595703,0
open_drawer,42,harm,approach,0,r1_c0,6,0.1905490032122583,0.0,0.07416235738330448,192.01077308654786,0
open_drawer,42,harm,approach,0,r1_c1,16,0.1982602458583673,0.007711242646109007,0.08661567196705336,186.8721393585205,0
open_drawer,42,harm,approach,0,r2_c0,10,0.1905490032122583,0.0,0.07416235738330448,192.1801929473877,0
open_drawer,42,harm,approach,0,r2_c1,10,0.1730937179108155,-0.017455285301442802,0.10672280178419129,203.1191135406494,0
open_drawer,42,harm,contact_or_motion,86,r0_c1,1,0.012984882108867168,0.0014140214771032333,0.08321017829970796,211.31688842773437,0
open_drawer,42,harm,contact_or_motion,86,r1_c1,2,0.011570860631763935,0.0,0.051227858825972215,221.79691619873046,0
open_drawer,42,harm,contact_or_motion,86,r2_c0,5,0.04941982310265303,0.03784896247088909,0.10202796300115943,219.63643951416014,0
open_drawer,42,harm,contact_or_motion,86,r2_c1,7,0.005386423319578171,-0.006184437312185764,0.10561607924550324,210.17503280639647,0
open_drawer,42,harm,late,90,r0_c0,4,0.02162354253232479,0.0,0.06697778162252713,223.13541717529296,0
open_drawer,42,harm,late,90,r0_c1,1,0.11875679157674313,0.09713324904441833,0.062337672830519844,223.8094711303711,0
open_drawer,42,harm,late,90,r1_c0,8,0.005702981725335121,-0.01592056080698967,0.07596622129725897,207.0265640258789,0
open_drawer,42,harm,late,90,r1_c1,5,0.023759236559271812,0.0021356940269470215,0.06424183022704284,209.7480728149414,0
open_drawer,42,harm,late,90,r2_c0,11,0.000605258159339428,-0.021018284372985363,0.13967782884687005,233.4276611328125,0
open_drawer,42,harm,late,90,r2_c1,20,0.08355654589831829,0.0619330033659935,0.1387637143401378,193.2261703491211,0
open_drawer,55,harm,approach,0,r0_c0,1,0.20385810436210938,0.02722032531789642,0.09151210316579791,198.86301956176757,0
open_drawer,55,harm,approach,0,r0_c1,5,0.2348208726335751,0.058183093589362134,0.06361387439681093,210.13898010253905,0
open_drawer,55,harm,approach,0,r1_c0,23,0.1955919645830697,0.01895418553885675,0.10927882980169183,156.7612916946411,0
open_drawer,55,harm,approach,0,r1_c1,9,0.23857779271039126,0.061940013666178295,0.07260775596540198,191.9214179992676,0
open_drawer,55,harm,approach,0,r2_c0,12,0.2366623420721673,0.060024563027954336,0.08213627001281715,174.1086025238037,0
open_drawer,55,harm,approach,0,r2_c1,1,0.17663777904421296,0.0,0.10698411492987307,201.53043365478516,0
open_drawer,55,harm,contact_or_motion,56,r0_c0,1,4.31600013974659e-14,0.0,0.07057922518374585,248.65634765625,0
open_drawer,55,harm,contact_or_motion,56,r0_c1,1,4.31600013974659e-14,0.0,0.05952484781990597,246.40979919433593,0
open_drawer,55,harm,contact_or_motion,56,r1_c0,23,4.31600013974659e-14,0.0,0.08863247304928472,221.44837341308593,0
open_drawer,55,harm,contact_or_motion,56,r1_c1,5,4.31600013974659e-14,0.0,0.06764164059491139,254.89324645996095,0
open_drawer,55,harm,contact_or_motion,56,r2_c0,9,4.31600013974659e-14,0.0,0.06846849019749936,232.0793029785156,0
open_drawer,55,harm,contact_or_motion,56,r2_c1,1,4.31600013974659e-14,0.0,0.05900955320503658,251.70653228759767,0
